exemplar,category,typicality_rating,rank,rowwise_similarity,bundles
scissors,kitchen utensils,10.9285714285714,33,0.7380952380952381,1
apron,kitchen utensils,14.3571428571428,25,0.6923076923076923,1
spatula,kitchen utensils,14.8571428571428,22,1.0,1
mug,kitchen utensils,14.1428571428571,27,0.6511627906976745,1
teaspoon,kitchen utensils,14.6428571428571,24,0.7567567567567568,1
colander,kitchen utensils,16.4285714285714,12,0.675,1
fork,kitchen utensils,16.3571428571428,13,0.7567567567567568,1
electric kettle,kitchen utensils,16.3571428571428,14,1.0,2
scales,kitchen utensils,12.3928571428571,29,0.7317073170731707,2
wok,kitchen utensils,17.1071428571428,6,0.5813953488372093,1
sieve,kitchen utensils,15.1785714285714,21,0.6666666666666666,1
accordion,musical instruments,15.8928571428571,17,0.6341463414634146,5
banjo,musical instruments,14.8571428571428,22,0.7878787878787878,5
bass guitar,musical instruments,17.5,9,0.5853658536585366,5
cello,musical instruments,17.2857142857142,10,0.8823529411764706,5
cymbals,musical instruments,14.3214285714285,26,0.5609756097560976,5
double bass,musical instruments,16.9285714285714,12,0.8285714285714286,5
bagpipe,musical instruments,15.1428571428571,21,0.7222222222222222,5
drum set,musical instruments,17.6785714285714,8,0.4878048780487805,5
flute,musical instruments,18.0,6,0.7297297297297297,5
bassoon,musical instruments,15.4444444444444,20,0.6923076923076923,5
flute,musical instruments,17.8571428571428,7,0.7297297297297297,5
guitar,musical instruments,19.25,2,0.7045454545454546,5
harp,musical instruments,16.0,15,0.7941176470588235,5
clarinet,musical instruments,17.25,11,0.7435897435897436,5
harpsichord,musical instruments,14.4230769230769,24,0.7567567567567568,5
harmonica,musical instruments,15.7142857142857,18,0.6097560975609756,5
organ,musical instruments,16.1785714285714,14,0.7142857142857143,5
pan flute,musical instruments,14.25,27,0.6857142857142857,5
piano,musical instruments,19.4285714285714,1,0.6666666666666666,5
saxophone,musical instruments,18.4642857142857,4,0.7631578947368421,5
synthesizer,musical instruments,15.6785714285714,19,0.5609756097560976,5
tambourine,musical instruments,14.3333333333333,25,0.5897435897435898,5
triangle,musical instruments,14.5357142857142,23,0.525,5
trombone,musical instruments,15.9259259259259,16,0.7435897435897436,5
drum,musical instruments,16.6071428571428,13,0.7,5
trumpet,musical instruments,18.4444444444444,5,0.717948717948718,5
violin,musical instruments,18.8571428571428,3,1.0,5
bazooka,weapons,18.5,4,0.7560975609756098,6
knuckle dusters,weapons,11.1071428571428,15,0.5609756097560976,6
bow,weapons,11.3571428571428,14,0.6666666666666666,6
dagger,weapons,17.2142857142857,6,0.6458333333333334,6
rifle,weapons,19.3928571428571,2,0.8947368421052632,6
grenade,weapons,17.3214285714285,5,0.6190476190476191,6
canon,weapons,16.9642857142857,8,0.75,6
slingshot,weapons,11.5714285714285,13,0.6829268292682927,6
club,weapons,14.3928571428571,10,0.7073170731707317,6
machine gun,weapons,18.8571428571428,3,0.8947368421052632,6
pistol,weapons,19.4285714285714,1,0.8648648648648649,6
shield,weapons,7.10714285714285,18,0.5581395348837209,6
spear,weapons,13.8928571428571,11,0.627906976744186,6
stick,weapons,9.0,17,0.6585365853658537,6
tank,weapons,13.1428571428571,12,0.625,3
double barrelled shotgun,weapons,16.5714285714285,9,1.0,6
sword,weapons,17.0714285714285,7,0.6818181818181818,6
whip,weapons,9.85714285714285,16,0.675,6
