category,correlation,p_value,n_samples,significance
tools,-0.109606,0.578746,28,not significant
vehicles,0.670898,5e-05,30,highly significant
clothing,0.399574,0.031755,29,significant
kitchen utensils,-0.207703,0.246107,33,not significant
musical instruments,0.323019,0.100294,27,not significant
weapons,0.653875,0.003246,18,very significant
