label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,birds,fish,insects,mammals,reptiles,unknown
2,45,insects,26,26,57.78,100.0,73.24,78,78,0.081197,19,0,26,0,0,0
3,37,reptiles,20,20,54.05,100.0,70.18,117,117,0.068946,11,0,0,6,20,0
4,22,fish,22,23,100.0,95.65,97.78,32,32,0.071528,0,22,0,0,0,0
5,47,mammals,24,30,51.06,80.0,62.34,88,88,0.058838,0,23,0,24,0,0
6,17,birds,15,30,88.24,50.0,63.83,6,6,0.144444,15,0,2,0,0,0
7,37,insects,24,26,64.86,92.31,76.19,13,13,0.042735,13,0,24,0,0,0
8,14,birds,13,30,92.86,43.33,59.09,29,29,0.098084,13,0,1,0,0,0
9,32,mammals,28,30,87.5,93.33,90.32,6,6,0.237037,0,1,0,28,3,0
10,1,mammals,1,30,100.0,3.33,6.45,2,2,0.177778,0,0,0,1,0,0
11,22,birds,19,30,86.36,63.33,73.08,5,5,0.071111,19,0,3,0,0,0
12,1,insects,1,26,100.0,3.85,7.41,1,1,0.111111,0,0,1,0,0,0
13,18,reptiles,16,20,88.89,80.0,84.21,1,1,0.622222,0,0,0,2,16,0
