category,correlation,p_value,n_samples,significance
birds,-0.277035,0.15352,28,not significant
fish,-0.45856,0.027754,23,significant
insects,0.466806,0.018651,25,significant
mammals,-0.581927,0.000743,30,highly significant
reptiles,0.449134,0.053725,19,not significant
