label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,clothing,kitchen utensils,musical instruments,tools,vehicles,weapons,unknown
73,2,musical instruments,2,26,100.0,7.69,14.29,1,1,0.001377,0,0,2,0,0,0,0
74,3,musical instruments,3,26,100.0,11.54,20.69,1,1,0.0,0,0,3,0,0,0,0
75,9,musical instruments,7,26,77.78,26.92,40.0,1,1,0.0,1,1,7,0,0,0,0
76,10,kitchen utensils,10,33,100.0,30.3,46.51,1,1,0.0,0,10,0,0,0,0,0
77,1,kitchen utensils,1,33,100.0,3.03,5.88,1,1,0.0,0,1,0,0,0,0,0
78,4,tools,3,28,75.0,10.71,18.75,1,1,0.00551,0,1,0,3,0,0,0
79,11,tools,9,28,81.82,32.14,46.15,1,1,0.00551,0,0,0,9,0,2,0
80,3,weapons,2,18,66.67,11.11,19.05,2,2,0.000688,0,0,0,1,0,2,0
81,6,tools,3,28,50.0,10.71,17.65,1,1,0.006887,0,1,0,3,0,2,0
82,3,vehicles,3,28,100.0,10.71,19.35,2,2,0.008264,0,0,0,0,3,0,0
83,3,vehicles,3,28,100.0,10.71,19.35,1,1,0.0,0,0,0,0,3,0,0
84,9,vehicles,7,28,77.78,25.0,37.84,1,1,0.0,0,0,0,0,7,0,2
85,11,tools,6,28,54.55,21.43,30.77,1,1,0.034435,0,2,0,6,1,2,0
86,1,kitchen utensils,1,33,100.0,3.03,5.88,1,1,0.0,0,1,0,0,0,0,0
87,12,vehicles,11,28,91.67,39.29,55.0,1,1,0.034435,0,0,0,0,11,0,1
88,4,vehicles,3,28,75.0,10.71,18.75,1,1,0.034435,0,0,0,0,3,0,1
89,8,clothing,8,29,100.0,27.59,43.24,1,1,0.030303,8,0,0,0,0,0,0
90,1,weapons,1,18,100.0,5.56,10.53,1,1,0.006887,0,0,0,0,0,1,0
91,10,clothing,10,29,100.0,34.48,51.28,2,2,0.000688,10,0,0,0,0,0,0
92,2,musical instruments,2,26,100.0,7.69,14.29,5,5,0.016529,0,0,2,0,0,0,0
