run_id,created_utc,labels_file,n_labels,mean_purity_percent,weighted_purity_percent,distinct_category_match_count,distinct_category_match_accuracy_percent,params,best_distinct_mapping,overall_jaccard
1,2026-03-14T21:09:02.017668+00:00,output/experiments/bmf/artifacts/exemplar/frequency/1/label_membership_cells.csv,17,80.9,69.91,111,68.52,"{""isColumnSplit"": ""false"", ""max_col"": ""15"", ""max_row"": ""15"", ""prah"": ""0.60""}","[{""category"": ""clothing"", ""label"": 3, ""matched_count"": 29, ""purity_percent"": 50.88, ""avg_feature_freq_weight"": 0.152368, ""recall_percent"": 100.0, ""f1_percent"": 67.44}, {""category"": ""kitchen utensils"", ""label"": 4, ""matched_count"": 28, ""purity_percent"": 47.46, ""avg_feature_freq_weight"": 0.149011, ""recall_percent"": 84.85, ""f1_percent"": 60.87}, {""category"": ""musical instruments"", ""label"": 13, ""matched_count"": 24, ""purity_percent"": 88.89, ""avg_feature_freq_weight"": 0.198806, ""recall_percent"": 92.31, ""f1_percent"": 90.57}, {""category"": ""tools"", ""label"": 8, ""matched_count"": 8, ""purity_percent"": 53.33, ""avg_feature_freq_weight"": 0.157714, ""recall_percent"": 28.57, ""f1_percent"": 37.21}, {""category"": ""vehicles"", ""label"": 9, ""matched_count"": 20, ""purity_percent"": 95.24, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 71.43, ""f1_percent"": 81.63}, {""category"": ""weapons"", ""label"": 5, ""matched_count"": 2, ""purity_percent"": 100.0, ""avg_feature_freq_weight"": 0.115828, ""recall_percent"": 11.11, ""f1_percent"": 20.0}]",0.265279
8,2026-03-14T21:09:09.239059+00:00,output/experiments/bmf/artifacts/exemplar/frequency/8/label_membership_cells.csv,16,82.47,72.97,107,66.05,"{""isColumnSplit"": ""false"", ""max_col"": ""16"", ""max_row"": ""20"", ""prah"": ""0.55""}","[{""category"": ""clothing"", ""label"": 3, ""matched_count"": 29, ""purity_percent"": 50.88, ""avg_feature_freq_weight"": 0.152368, ""recall_percent"": 100.0, ""f1_percent"": 67.44}, {""category"": ""kitchen utensils"", ""label"": 4, ""matched_count"": 28, ""purity_percent"": 47.46, ""avg_feature_freq_weight"": 0.149011, ""recall_percent"": 84.85, ""f1_percent"": 60.87}, {""category"": ""musical instruments"", ""label"": 12, ""matched_count"": 24, ""purity_percent"": 88.89, ""avg_feature_freq_weight"": 0.198806, ""recall_percent"": 92.31, ""f1_percent"": 90.57}, {""category"": ""tools"", ""label"": 14, ""matched_count"": 9, ""purity_percent"": 52.94, ""avg_feature_freq_weight"": 0.094525, ""recall_percent"": 32.14, ""f1_percent"": 40.0}, {""category"": ""vehicles"", ""label"": 17, ""matched_count"": 15, ""purity_percent"": 93.75, ""avg_feature_freq_weight"": 0.185262, ""recall_percent"": 53.57, ""f1_percent"": 68.18}, {""category"": ""weapons"", ""label"": 6, ""matched_count"": 2, ""purity_percent"": 100.0, ""avg_feature_freq_weight"": 0.115828, ""recall_percent"": 11.11, ""f1_percent"": 20.0}]",0.255154
9,2026-03-14T21:09:10.152810+00:00,output/experiments/bmf/artifacts/exemplar/frequency/9/label_membership_cells.csv,19,75.89,70.63,109,67.28,"{""isColumnSplit"": ""true"", ""max_col"": ""16"", ""max_row"": ""20"", ""prah"": ""0.52""}","[{""category"": ""clothing"", ""label"": 5, ""matched_count"": 29, ""purity_percent"": 40.85, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 100.0, ""f1_percent"": 58.0}, {""category"": ""kitchen utensils"", ""label"": 9, ""matched_count"": 10, ""purity_percent"": 71.43, ""avg_feature_freq_weight"": 0.212121, ""recall_percent"": 30.3, ""f1_percent"": 42.55}, {""category"": ""musical instruments"", ""label"": 17, ""matched_count"": 15, ""purity_percent"": 78.95, ""avg_feature_freq_weight"": 0.198806, ""recall_percent"": 57.69, ""f1_percent"": 66.67}, {""category"": ""tools"", ""label"": 12, ""matched_count"": 21, ""purity_percent"": 45.65, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 75.0, ""f1_percent"": 56.76}, {""category"": ""vehicles"", ""label"": 7, ""matched_count"": 27, ""purity_percent"": 93.1, ""avg_feature_freq_weight"": 0.147038, ""recall_percent"": 96.43, ""f1_percent"": 94.74}, {""category"": ""weapons"", ""label"": 13, ""matched_count"": 7, ""purity_percent"": 77.78, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 38.89, ""f1_percent"": 51.85}]",0.225669
4,2026-03-14T21:09:05.103599+00:00,output/experiments/bmf/artifacts/exemplar/frequency/4/label_membership_cells.csv,18,74.97,69.95,109,67.28,"{""isColumnSplit"": ""true"", ""max_col"": ""18"", ""max_row"": ""22"", ""prah"": ""0.55""}","[{""category"": ""clothing"", ""label"": 4, ""matched_count"": 29, ""purity_percent"": 40.85, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 100.0, ""f1_percent"": 58.0}, {""category"": ""kitchen utensils"", ""label"": 9, ""matched_count"": 10, ""purity_percent"": 71.43, ""avg_feature_freq_weight"": 0.212121, ""recall_percent"": 30.3, ""f1_percent"": 42.55}, {""category"": ""musical instruments"", ""label"": 17, ""matched_count"": 15, ""purity_percent"": 78.95, ""avg_feature_freq_weight"": 0.198806, ""recall_percent"": 57.69, ""f1_percent"": 66.67}, {""category"": ""tools"", ""label"": 12, ""matched_count"": 21, ""purity_percent"": 45.65, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 75.0, ""f1_percent"": 56.76}, {""category"": ""vehicles"", ""label"": 6, ""matched_count"": 27, ""purity_percent"": 93.1, ""avg_feature_freq_weight"": 0.147038, ""recall_percent"": 96.43, ""f1_percent"": 94.74}, {""category"": ""weapons"", ""label"": 13, ""matched_count"": 7, ""purity_percent"": 77.78, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 38.89, ""f1_percent"": 51.85}]",0.225669
5,2026-03-14T21:09:06.075302+00:00,output/experiments/bmf/artifacts/exemplar/frequency/5/label_membership_cells.csv,18,74.97,69.95,109,67.28,"{""isColumnSplit"": ""true"", ""max_col"": ""18"", ""max_row"": ""22"", ""prah"": ""0.58""}","[{""category"": ""clothing"", ""label"": 4, ""matched_count"": 29, ""purity_percent"": 40.85, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 100.0, ""f1_percent"": 58.0}, {""category"": ""kitchen utensils"", ""label"": 9, ""matched_count"": 10, ""purity_percent"": 71.43, ""avg_feature_freq_weight"": 0.212121, ""recall_percent"": 30.3, ""f1_percent"": 42.55}, {""category"": ""musical instruments"", ""label"": 17, ""matched_count"": 15, ""purity_percent"": 78.95, ""avg_feature_freq_weight"": 0.198806, ""recall_percent"": 57.69, ""f1_percent"": 66.67}, {""category"": ""tools"", ""label"": 12, ""matched_count"": 21, ""purity_percent"": 45.65, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 75.0, ""f1_percent"": 56.76}, {""category"": ""vehicles"", ""label"": 6, ""matched_count"": 27, ""purity_percent"": 93.1, ""avg_feature_freq_weight"": 0.147038, ""recall_percent"": 96.43, ""f1_percent"": 94.74}, {""category"": ""weapons"", ""label"": 13, ""matched_count"": 7, ""purity_percent"": 77.78, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 38.89, ""f1_percent"": 51.85}]",0.225669
7,2026-03-14T21:09:08.360725+00:00,output/experiments/bmf/artifacts/exemplar/frequency/7/label_membership_cells.csv,18,74.97,69.95,109,67.28,"{""isColumnSplit"": ""true"", ""max_col"": ""16"", ""max_row"": ""20"", ""prah"": ""0.55""}","[{""category"": ""clothing"", ""label"": 4, ""matched_count"": 29, ""purity_percent"": 40.85, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 100.0, ""f1_percent"": 58.0}, {""category"": ""kitchen utensils"", ""label"": 9, ""matched_count"": 10, ""purity_percent"": 71.43, ""avg_feature_freq_weight"": 0.212121, ""recall_percent"": 30.3, ""f1_percent"": 42.55}, {""category"": ""musical instruments"", ""label"": 17, ""matched_count"": 15, ""purity_percent"": 78.95, ""avg_feature_freq_weight"": 0.198806, ""recall_percent"": 57.69, ""f1_percent"": 66.67}, {""category"": ""tools"", ""label"": 12, ""matched_count"": 21, ""purity_percent"": 45.65, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 75.0, ""f1_percent"": 56.76}, {""category"": ""vehicles"", ""label"": 6, ""matched_count"": 27, ""purity_percent"": 93.1, ""avg_feature_freq_weight"": 0.147038, ""recall_percent"": 96.43, ""f1_percent"": 94.74}, {""category"": ""weapons"", ""label"": 13, ""matched_count"": 7, ""purity_percent"": 77.78, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 38.89, ""f1_percent"": 51.85}]",0.225669
3,2026-03-14T21:09:04.203786+00:00,output/experiments/bmf/artifacts/exemplar/frequency/3/label_membership_cells.csv,19,76.29,68.75,109,67.28,"{""isColumnSplit"": ""true"", ""max_col"": ""15"", ""max_row"": ""20"", ""prah"": ""0.60""}","[{""category"": ""clothing"", ""label"": 3, ""matched_count"": 29, ""purity_percent"": 40.85, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 100.0, ""f1_percent"": 58.0}, {""category"": ""kitchen utensils"", ""label"": 9, ""matched_count"": 10, ""purity_percent"": 71.43, ""avg_feature_freq_weight"": 0.212121, ""recall_percent"": 30.3, ""f1_percent"": 42.55}, {""category"": ""musical instruments"", ""label"": 18, ""matched_count"": 15, ""purity_percent"": 78.95, ""avg_feature_freq_weight"": 0.198806, ""recall_percent"": 57.69, ""f1_percent"": 66.67}, {""category"": ""tools"", ""label"": 12, ""matched_count"": 21, ""purity_percent"": 45.65, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 75.0, ""f1_percent"": 56.76}, {""category"": ""vehicles"", ""label"": 5, ""matched_count"": 27, ""purity_percent"": 93.1, ""avg_feature_freq_weight"": 0.147038, ""recall_percent"": 96.43, ""f1_percent"": 94.74}, {""category"": ""weapons"", ""label"": 13, ""matched_count"": 7, ""purity_percent"": 77.78, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 38.89, ""f1_percent"": 51.85}]",0.225669
2,2026-03-14T21:09:03.285478+00:00,output/experiments/bmf/artifacts/exemplar/frequency/2/label_membership_cells.csv,21,73.39,67.79,109,67.28,"{""isColumnSplit"": ""true"", ""max_col"": ""15"", ""max_row"": ""15"", ""prah"": ""0.60""}","[{""category"": ""clothing"", ""label"": 3, ""matched_count"": 29, ""purity_percent"": 40.85, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 100.0, ""f1_percent"": 58.0}, {""category"": ""kitchen utensils"", ""label"": 9, ""matched_count"": 10, ""purity_percent"": 71.43, ""avg_feature_freq_weight"": 0.212121, ""recall_percent"": 30.3, ""f1_percent"": 42.55}, {""category"": ""musical instruments"", ""label"": 18, ""matched_count"": 15, ""purity_percent"": 78.95, ""avg_feature_freq_weight"": 0.198806, ""recall_percent"": 57.69, ""f1_percent"": 66.67}, {""category"": ""tools"", ""label"": 12, ""matched_count"": 21, ""purity_percent"": 45.65, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 75.0, ""f1_percent"": 56.76}, {""category"": ""vehicles"", ""label"": 5, ""matched_count"": 27, ""purity_percent"": 93.1, ""avg_feature_freq_weight"": 0.147038, ""recall_percent"": 96.43, ""f1_percent"": 94.74}, {""category"": ""weapons"", ""label"": 13, ""matched_count"": 7, ""purity_percent"": 77.78, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 38.89, ""f1_percent"": 51.85}]",0.225669
6,2026-03-14T21:09:07.067523+00:00,output/experiments/bmf/artifacts/exemplar/frequency/6/label_membership_cells.csv,36,82.8,73.22,93,57.41,"{""isColumnSplit"": ""true"", ""max_col"": ""10"", ""max_row"": ""10"", ""prah"": ""0.60""}","[{""category"": ""clothing"", ""label"": 3, ""matched_count"": 29, ""purity_percent"": 40.85, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 100.0, ""f1_percent"": 58.0}, {""category"": ""kitchen utensils"", ""label"": 10, ""matched_count"": 10, ""purity_percent"": 71.43, ""avg_feature_freq_weight"": 0.212121, ""recall_percent"": 30.3, ""f1_percent"": 42.55}, {""category"": ""musical instruments"", ""label"": 21, ""matched_count"": 15, ""purity_percent"": 78.95, ""avg_feature_freq_weight"": 0.198806, ""recall_percent"": 57.69, ""f1_percent"": 66.67}, {""category"": ""tools"", ""label"": 14, ""matched_count"": 21, ""purity_percent"": 45.65, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 75.0, ""f1_percent"": 56.76}, {""category"": ""vehicles"", ""label"": 22, ""matched_count"": 11, ""purity_percent"": 91.67, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 39.29, ""f1_percent"": 55.0}, {""category"": ""weapons"", ""label"": 15, ""matched_count"": 7, ""purity_percent"": 77.78, ""avg_feature_freq_weight"": 0.207683, ""recall_percent"": 38.89, ""f1_percent"": 51.85}]",0.220553
