label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,clothing,kitchen utensils,musical instruments,tools,vehicles,weapons,unknown
2,38,vehicles,18,28,47.37,64.29,54.55,2,2,0.017906,0,0,8,1,18,10,1
3,5,musical instruments,2,26,40.0,7.69,12.9,2,2,0.017906,0,0,2,1,2,0,0
4,7,vehicles,4,28,57.14,14.29,22.86,9,9,0.134068,0,0,1,0,4,2,0
5,36,vehicles,16,28,44.44,57.14,50.0,9,9,0.134068,0,0,9,2,16,8,1
6,14,weapons,6,18,42.86,33.33,37.5,9,9,0.134068,0,1,0,4,3,6,0
7,39,tools,22,28,56.41,78.57,65.67,9,9,0.134068,0,9,1,22,4,2,1
8,24,kitchen utensils,17,33,70.83,51.52,59.65,9,9,0.134068,7,17,0,0,0,0,0
9,28,clothing,22,29,78.57,75.86,77.19,9,9,0.134068,22,6,0,0,0,0,0
10,1,vehicles,1,28,100.0,3.57,6.9,5,5,0.066942,0,0,0,0,1,0,0
11,9,weapons,6,18,66.67,33.33,44.44,6,6,0.016299,0,0,0,1,2,6,0
12,12,kitchen utensils,11,33,91.67,33.33,48.89,2,2,0.017906,1,11,0,0,0,0,0
13,1,tools,1,28,100.0,3.57,6.9,1,1,0.19146,0,0,0,1,0,0,0
14,15,kitchen utensils,9,33,60.0,27.27,37.5,2,2,0.01033,6,9,0,0,0,0,0
15,27,clothing,21,29,77.78,72.41,75.0,2,2,0.01033,21,6,0,0,0,0,0
16,1,clothing,1,29,100.0,3.45,6.67,18,18,0.047597,1,0,0,0,0,0,0
17,2,weapons,2,18,100.0,11.11,20.0,5,5,0.012672,0,0,0,0,0,2,0
18,5,tools,5,28,100.0,17.86,30.3,2,2,0.137052,0,0,0,5,0,0,0
19,24,tools,12,28,50.0,42.86,46.15,1,1,0.187328,0,6,1,12,3,2,0
20,3,weapons,2,18,66.67,11.11,19.05,4,4,0.015496,0,0,0,0,1,2,0
21,17,clothing,12,29,70.59,41.38,52.17,2,2,0.119146,12,5,0,0,0,0,0
22,8,clothing,8,29,100.0,27.59,43.24,2,2,0.119146,8,0,0,0,0,0,0
