label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,clothing,kitchen utensils,musical instruments,tools,vehicles,weapons,unknown
2,14,musical instruments,13,26,92.86,50.0,65.0,2,2,0.166666,0,0,13,0,1,0,0
3,6,vehicles,4,28,66.67,14.29,23.53,3,3,0.119835,0,0,2,0,4,0,0
4,6,musical instruments,6,26,100.0,23.08,37.5,2,2,0.017906,0,0,6,0,0,0,0
5,12,musical instruments,9,26,75.0,34.62,47.37,2,2,0.017906,0,0,9,0,3,0,0
6,6,musical instruments,6,26,100.0,23.08,37.5,9,9,0.134068,0,0,6,0,0,0,0
7,12,musical instruments,9,26,75.0,34.62,47.37,9,9,0.134068,0,0,9,0,3,0,0
8,38,vehicles,18,28,47.37,64.29,54.55,2,2,0.017906,0,0,8,1,18,10,1
9,5,musical instruments,2,26,40.0,7.69,12.9,2,2,0.017906,0,0,2,1,2,0,0
10,7,vehicles,4,28,57.14,14.29,22.86,9,9,0.134068,0,0,1,0,4,2,0
11,36,vehicles,16,28,44.44,57.14,50.0,9,9,0.134068,0,0,9,2,16,8,1
12,14,weapons,6,18,42.86,33.33,37.5,9,9,0.134068,0,1,0,4,3,6,0
13,39,tools,22,28,56.41,78.57,65.67,9,9,0.134068,0,9,1,22,4,2,1
14,24,kitchen utensils,17,33,70.83,51.52,59.65,9,9,0.134068,7,17,0,0,0,0,0
15,28,clothing,22,29,78.57,75.86,77.19,9,9,0.134068,22,6,0,0,0,0,0
16,14,clothing,14,29,100.0,48.28,65.12,5,5,0.021487,14,0,0,0,0,0,0
17,5,musical instruments,5,26,100.0,19.23,32.26,10,10,0.01887,0,0,5,0,0,0,0
18,1,vehicles,1,28,100.0,3.57,6.9,5,5,0.066942,0,0,0,0,1,0,0
19,9,weapons,6,18,66.67,33.33,44.44,6,6,0.016299,0,0,0,1,2,6,0
20,3,tools,2,28,66.67,7.14,12.9,1,1,0.0,0,1,0,2,0,0,0
21,18,clothing,12,29,66.67,41.38,51.06,3,3,0.000918,12,6,0,0,0,0,0
22,1,vehicles,1,28,100.0,3.57,6.9,5,5,0.006612,0,0,0,0,1,0,0
23,1,tools,1,28,100.0,3.57,6.9,1,1,0.19146,0,0,0,1,0,0,0
24,4,vehicles,4,28,100.0,14.29,25.0,2,2,0.137052,0,0,0,0,4,0,0
25,3,tools,2,28,66.67,7.14,12.9,3,3,0.059688,0,0,0,2,1,0,0
26,15,kitchen utensils,9,33,60.0,27.27,37.5,2,2,0.01033,6,9,0,0,0,0,0
27,27,clothing,21,29,77.78,72.41,75.0,2,2,0.01033,21,6,0,0,0,0,0
28,1,clothing,1,29,100.0,3.45,6.67,18,18,0.047597,1,0,0,0,0,0,0
29,13,vehicles,6,28,46.15,21.43,29.27,2,2,0.137052,0,0,2,2,6,2,1
30,2,weapons,2,18,100.0,11.11,20.0,5,5,0.012672,0,0,0,0,0,2,0
31,5,musical instruments,2,26,40.0,7.69,12.9,1,1,0.013774,0,0,2,1,2,0,0
32,15,tools,6,28,40.0,21.43,27.91,1,1,0.30854,0,4,0,6,3,2,0
33,3,tools,2,28,66.67,7.14,12.9,1,1,0.035813,0,1,0,2,0,0,0
