category,correlation,p_value,n_samples,significance
tools,-0.011446,0.953904,28,not significant
vehicles,0.124233,0.513059,30,not significant
clothing,-0.054719,0.778005,29,not significant
kitchen utensils,0.049148,0.78592,33,not significant
musical instruments,0.158474,0.429821,27,not significant
weapons,-0.413253,0.088272,18,not significant
