label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,clothing,kitchen utensils,musical instruments,tools,vehicles,weapons,unknown
2,20,clothing,20,29,100.0,68.97,81.63,27,27,0.102397,20,0,0,0,0,0,0
3,18,vehicles,15,28,83.33,53.57,65.22,77,77,0.124905,0,1,0,0,15,0,2
4,34,musical instruments,24,26,70.59,92.31,80.0,12,12,0.117647,9,0,24,0,0,0,1
5,17,clothing,17,29,100.0,58.62,73.91,47,47,0.062578,17,0,0,0,0,0,0
6,13,tools,12,28,92.31,42.86,58.54,3,3,0.029412,0,0,0,12,0,1,0
7,27,tools,11,28,40.74,39.29,40.0,29,29,0.12069,0,9,0,11,0,7,0
8,1,vehicles,1,28,100.0,3.57,6.9,22,22,0.157754,0,0,0,0,1,0,0
9,9,clothing,9,29,100.0,31.03,47.37,33,33,0.075758,9,0,0,0,0,0,0
10,18,tools,10,28,55.56,35.71,43.48,29,29,0.12069,0,1,0,10,0,7,0
11,6,vehicles,5,28,83.33,17.86,29.41,24,24,0.147059,0,0,0,0,5,0,1
12,1,weapons,1,18,100.0,5.56,10.53,1,1,0.176471,0,0,0,0,0,1,0
13,6,tools,4,28,66.67,14.29,23.53,12,12,0.117647,0,0,0,4,0,1,1
14,1,tools,1,28,100.0,3.57,6.9,1,1,0.117647,0,0,0,1,0,0,0
15,6,weapons,5,18,83.33,27.78,41.67,1,1,0.029412,0,1,0,0,0,5,0
16,34,tools,17,28,50.0,60.71,54.84,1,1,0.294118,0,9,0,17,0,8,0
17,5,kitchen utensils,3,33,60.0,9.09,15.79,29,29,0.12069,0,3,0,1,0,1,0
18,12,kitchen utensils,9,33,75.0,27.27,40.0,29,29,0.12069,0,9,0,1,1,1,0
19,11,vehicles,9,28,81.82,32.14,46.15,21,21,0.134454,0,1,0,0,9,0,1
20,17,musical instruments,16,26,94.12,61.54,74.42,36,36,0.054739,0,0,16,0,0,0,1
21,10,musical instruments,8,26,80.0,30.77,44.44,8,8,0.0625,2,0,8,0,0,0,0
22,9,tools,8,28,88.89,28.57,43.24,1,1,0.0,0,0,0,8,0,1,0
23,2,musical instruments,2,26,100.0,7.69,14.29,18,18,0.135621,0,0,2,0,0,0,0
24,2,kitchen utensils,1,33,50.0,3.03,5.71,1,1,0.029412,0,1,0,1,0,0,0
25,3,kitchen utensils,3,33,100.0,9.09,16.67,38,38,0.140867,0,3,0,0,0,0,0
