category,exemplar,typicality_rating,rowwise_similarity,bundles
tools,anvil,11.1428571428571,0.0,1
tools,chisel,16.1071428571428,0.0,3
tools,axe,15.9642857142857,0.0,3
tools,drill,17.3571428571428,0.011627906976744186,1
tools,crowbar,14.8928571428571,0.0,3
tools,adjustable spanner,16.4074074074074,0.0,1
tools,lawn mower,12.1785714285714,0.0,3
tools,hammer,18.4285714285714,0.0,3
tools,clamp,12.2592592592592,0.0,1
tools,pickaxe,14.9629629629629,0.0,3
tools,crowbar,14.5714285714285,0.0,3
tools,wheelbarrow,14.5714285714285,0.015384615384615385,1
tools,wrench,16.037037037037,0.0,1
tools,oil can,10.7777777777777,0.017543859649122806,1
tools,filling knife,14.1428571428571,0.0,3
tools,plough,12.7142857142857,0.01694915254237288,1
tools,plane,13.1153846153846,0.015873015873015872,1
tools,shovel,17.5357142857142,0.0,3
tools,screwdriver,17.5714285714285,0.014492753623188406,1
tools,grinding disc,15.3214285714285,0.012987012987012988,1
tools,nail,11.9642857142857,0.0,1
tools,wire brush,11.6428571428571,0.0,1
tools,vacuum cleaner,8.21428571428571,0.23376623376623376,2
tools,tongs,16.8571428571428,0.014084507042253521,1
tools,rope,9.46428571428571,0.0,3
tools,paint brush,13.0,0.016666666666666666,1
tools,file,12.0357142857142,0.015384615384615385,1
tools,level,14.1428571428571,0.017241379310344827,1
tools,saw,17.9642857142857,0.0,3
vehicles,car,19.6785714285714,0.0,3
vehicles,boat,12.75,0.0,3
vehicles,scooter,16.75,0.0,3
vehicles,motorbike,17.25,0.0,3
vehicles,bus,18.5,0.0,3
vehicles,truck,17.0714285714285,0.17204301075268819,6
vehicles,van,18.1785714285714,0.16483516483516483,6
vehicles,trailer,12.6071428571428,0.0,3
vehicles,submarine,7.32142857142857,0.15384615384615385,6
vehicles,bicycle,17.0714285714285,0.0,3
vehicles,go-cart,9.96428571428571,0.0,3
vehicles,helicopter,12.6785714285714,0.0,3
vehicles,hovercraft,9.52173913043478,0.0,3
vehicles,jeep,17.9285714285714,0.1836734693877551,6
vehicles,cart,10.2142857142857,0.0,3
vehicles,carriage,11.8571428571428,0.0,3
vehicles,(hot air) balloon,9.28571428571428,0.0,3
vehicles,subway train,13.8148148148148,0.0,3
vehicles,motorbike,17.3214285714285,0.0,3
vehicles,rocket,6.5,0.23170731707317074,2
vehicles,skateboard,8.53571428571428,0.0,3
vehicles,sled,8.07142857142857,0.0,3
vehicles,kick scooter,10.3214285714285,0.0,3
vehicles,taxi,17.5,0.0,3
vehicles,tractor,12.1071428571428,0.16304347826086957,6
vehicles,tram,16.5714285714285,0.0,3
vehicles,train,17.5357142857142,0.0,3
vehicles,airplane,15.0357142857142,0.0,3
vehicles,truck,17.8928571428571,0.17204301075268819,6
vehicles,Zeppelin,8.37037037037037,0.0,3
clothing,bra,13.6785714285714,0.16666666666666666,4
clothing,blouse,17.4285714285714,0.20481927710843373,5
clothing,pants,18.25,0.19767441860465115,5
clothing,tie,12.9285714285714,0.17391304347826086,4
clothing,shirt,18.0714285714285,0.2,5
clothing,hat,11.2142857142857,0.2191780821917808,5
clothing,coat,17.7857142857142,0.2073170731707317,5
clothing,jeans,18.0,0.21333333333333335,5
clothing,tracksuit,15.5357142857142,0.17647058823529413,4
clothing,dress,17.0357142857142,0.20481927710843373,5
clothing,suit,17.0357142857142,0.20987654320987653,5
clothing,boots,12.5357142857142,0.19047619047619047,4
clothing,beanie,11.4642857142857,0.2,5
clothing,cap,11.9285714285714,0.2077922077922078,5
clothing,pyjamas,13.1071428571428,0.2222222222222222,5
clothing,belt,10.8571428571428,0.2,4
clothing,skirt,17.8214285714285,0.2,5
clothing,dungarees,14.2307692307692,0.21621621621621623,5
clothing,shoes,12.3571428571428,0.18181818181818182,4
clothing,shorts,16.6785714285714,0.18292682926829268,5
clothing,scarf,12.0,0.18823529411764706,5
clothing,panties,13.6428571428571,0.16666666666666666,4
clothing,socks,14.4285714285714,0.15584415584415584,4
