category,correlation,p_value,n_samples,significance
tools,-0.440346,0.01682,29,significant
vehicles,0.00249,0.989579,30,not significant
clothing,0.139457,0.470602,29,not significant
kitchen utensils,0.10784,0.550272,33,not significant
musical instruments,0.228756,0.25109,27,not significant
weapons,-0.352984,0.150772,18,not significant
