category,correlation,p_value,n_samples,significance
birds,0.380024,0.038315,30,significant
fish,0.786798,8e-06,23,highly significant
insects,0.106475,0.604672,26,not significant
mammals,0.273309,0.143917,30,not significant
reptiles,0.173282,0.465026,20,not significant
