features,freq,normalized_freq
is caught using nets,1.0,0.0
is eaten by an insectivore,1.0,0.0
is eaten by plants,1.0,0.0
is eaten by spiders,2.0,0.022222
is eaten with white wine,1.0,0.0
is caught using bait,1.0,0.0
is caught using a fishing rod,1.0,0.0
is sometimes kept as a pet,15.0,0.311111
breastfeeds its babies,17.0,0.355556
performs pollination,1.0,0.0
both male and female take part in the brooding,1.0,0.0
swims in schools,4.0,0.066667
