run_id,created_utc,labels_file,n_labels,mean_purity_percent,weighted_purity_percent,distinct_category_match_count,distinct_category_match_accuracy_percent,params,best_distinct_mapping,overall_jaccard
9,2026-03-14T21:12:50.178731+00:00,output/experiments/bmf/artifacts/exemplar/random/9/label_membership_cells.csv,21,68.7,60.29,75,46.3,"{""isColumnSplit"": ""true"", ""max_col"": ""16"", ""max_row"": ""20"", ""prah"": ""0.52""}","[{""category"": ""clothing"", ""label"": 2, ""matched_count"": 22, ""purity_percent"": 78.57, ""avg_feature_freq_weight"": 0.060678, ""recall_percent"": 75.86, ""f1_percent"": 77.19}, {""category"": ""kitchen utensils"", ""label"": 10, ""matched_count"": 17, ""purity_percent"": 70.83, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 51.52, ""f1_percent"": 59.65}, {""category"": ""musical instruments"", ""label"": 4, ""matched_count"": 2, ""purity_percent"": 40.0, ""avg_feature_freq_weight"": 0.017906, ""recall_percent"": 7.69, ""f1_percent"": 12.9}, {""category"": ""tools"", ""label"": 20, ""matched_count"": 12, ""purity_percent"": 50.0, ""avg_feature_freq_weight"": 0.187328, ""recall_percent"": 42.86, ""f1_percent"": 46.16}, {""category"": ""vehicles"", ""label"": 6, ""matched_count"": 16, ""purity_percent"": 44.44, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 57.14, ""f1_percent"": 50.0}, {""category"": ""weapons"", ""label"": 8, ""matched_count"": 6, ""purity_percent"": 42.86, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 33.33, ""f1_percent"": 37.5}]",0.227569
2,2026-03-14T21:12:43.976536+00:00,output/experiments/bmf/artifacts/exemplar/random/2/label_membership_cells.csv,29,74.23,64.72,76,46.91,"{""isColumnSplit"": ""true"", ""max_col"": ""15"", ""max_row"": ""15"", ""prah"": ""0.60""}","[{""category"": ""clothing"", ""label"": 13, ""matched_count"": 22, ""purity_percent"": 78.57, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 75.86, ""f1_percent"": 77.19}, {""category"": ""kitchen utensils"", ""label"": 12, ""matched_count"": 17, ""purity_percent"": 70.83, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 51.52, ""f1_percent"": 59.65}, {""category"": ""musical instruments"", ""label"": 5, ""matched_count"": 9, ""purity_percent"": 75.0, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 34.62, ""f1_percent"": 47.37}, {""category"": ""tools"", ""label"": 25, ""matched_count"": 6, ""purity_percent"": 40.0, ""avg_feature_freq_weight"": 0.30854, ""recall_percent"": 21.43, ""f1_percent"": 27.91}, {""category"": ""vehicles"", ""label"": 9, ""matched_count"": 16, ""purity_percent"": 44.44, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 57.14, ""f1_percent"": 50.0}, {""category"": ""weapons"", ""label"": 10, ""matched_count"": 6, ""purity_percent"": 42.86, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 33.33, ""f1_percent"": 37.5}]",0.172081
7,2026-03-14T21:12:48.414870+00:00,output/experiments/bmf/artifacts/exemplar/random/7/label_membership_cells.csv,24,72.62,63.88,75,46.3,"{""isColumnSplit"": ""true"", ""max_col"": ""16"", ""max_row"": ""20"", ""prah"": ""0.55""}","[{""category"": ""clothing"", ""label"": 10, ""matched_count"": 22, ""purity_percent"": 78.57, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 75.86, ""f1_percent"": 77.19}, {""category"": ""kitchen utensils"", ""label"": 9, ""matched_count"": 17, ""purity_percent"": 70.83, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 51.52, ""f1_percent"": 59.65}, {""category"": ""musical instruments"", ""label"": 3, ""matched_count"": 2, ""purity_percent"": 40.0, ""avg_feature_freq_weight"": 0.017906, ""recall_percent"": 7.69, ""f1_percent"": 12.9}, {""category"": ""tools"", ""label"": 22, ""matched_count"": 12, ""purity_percent"": 50.0, ""avg_feature_freq_weight"": 0.187328, ""recall_percent"": 42.86, ""f1_percent"": 46.16}, {""category"": ""vehicles"", ""label"": 5, ""matched_count"": 16, ""purity_percent"": 44.44, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 57.14, ""f1_percent"": 50.0}, {""category"": ""weapons"", ""label"": 7, ""matched_count"": 6, ""purity_percent"": 42.86, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 33.33, ""f1_percent"": 37.5}]",0.157062
3,2026-03-14T21:12:44.856744+00:00,output/experiments/bmf/artifacts/exemplar/random/3/label_membership_cells.csv,22,72.55,63.39,75,46.3,"{""isColumnSplit"": ""true"", ""max_col"": ""15"", ""max_row"": ""20"", ""prah"": ""0.60""}","[{""category"": ""clothing"", ""label"": 9, ""matched_count"": 22, ""purity_percent"": 78.57, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 75.86, ""f1_percent"": 77.19}, {""category"": ""kitchen utensils"", ""label"": 8, ""matched_count"": 17, ""purity_percent"": 70.83, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 51.52, ""f1_percent"": 59.65}, {""category"": ""musical instruments"", ""label"": 3, ""matched_count"": 2, ""purity_percent"": 40.0, ""avg_feature_freq_weight"": 0.017906, ""recall_percent"": 7.69, ""f1_percent"": 12.9}, {""category"": ""tools"", ""label"": 20, ""matched_count"": 12, ""purity_percent"": 50.0, ""avg_feature_freq_weight"": 0.187328, ""recall_percent"": 42.86, ""f1_percent"": 46.16}, {""category"": ""vehicles"", ""label"": 5, ""matched_count"": 16, ""purity_percent"": 44.44, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 57.14, ""f1_percent"": 50.0}, {""category"": ""weapons"", ""label"": 6, ""matched_count"": 6, ""purity_percent"": 42.86, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 33.33, ""f1_percent"": 37.5}]",0.157062
5,2026-03-14T21:12:46.646942+00:00,output/experiments/bmf/artifacts/exemplar/random/5/label_membership_cells.csv,21,72.43,62.66,75,46.3,"{""isColumnSplit"": ""true"", ""max_col"": ""18"", ""max_row"": ""22"", ""prah"": ""0.58""}","[{""category"": ""clothing"", ""label"": 9, ""matched_count"": 22, ""purity_percent"": 78.57, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 75.86, ""f1_percent"": 77.19}, {""category"": ""kitchen utensils"", ""label"": 8, ""matched_count"": 17, ""purity_percent"": 70.83, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 51.52, ""f1_percent"": 59.65}, {""category"": ""musical instruments"", ""label"": 3, ""matched_count"": 2, ""purity_percent"": 40.0, ""avg_feature_freq_weight"": 0.017906, ""recall_percent"": 7.69, ""f1_percent"": 12.9}, {""category"": ""tools"", ""label"": 19, ""matched_count"": 12, ""purity_percent"": 50.0, ""avg_feature_freq_weight"": 0.187328, ""recall_percent"": 42.86, ""f1_percent"": 46.16}, {""category"": ""vehicles"", ""label"": 5, ""matched_count"": 16, ""purity_percent"": 44.44, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 57.14, ""f1_percent"": 50.0}, {""category"": ""weapons"", ""label"": 6, ""matched_count"": 6, ""purity_percent"": 42.86, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 33.33, ""f1_percent"": 37.5}]",0.157062
4,2026-03-14T21:12:45.759663+00:00,output/experiments/bmf/artifacts/exemplar/random/4/label_membership_cells.csv,22,71.91,62.57,75,46.3,"{""isColumnSplit"": ""true"", ""max_col"": ""18"", ""max_row"": ""22"", ""prah"": ""0.55""}","[{""category"": ""clothing"", ""label"": 10, ""matched_count"": 22, ""purity_percent"": 78.57, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 75.86, ""f1_percent"": 77.19}, {""category"": ""kitchen utensils"", ""label"": 9, ""matched_count"": 17, ""purity_percent"": 70.83, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 51.52, ""f1_percent"": 59.65}, {""category"": ""musical instruments"", ""label"": 3, ""matched_count"": 2, ""purity_percent"": 40.0, ""avg_feature_freq_weight"": 0.017906, ""recall_percent"": 7.69, ""f1_percent"": 12.9}, {""category"": ""tools"", ""label"": 20, ""matched_count"": 12, ""purity_percent"": 50.0, ""avg_feature_freq_weight"": 0.187328, ""recall_percent"": 42.86, ""f1_percent"": 46.16}, {""category"": ""vehicles"", ""label"": 5, ""matched_count"": 16, ""purity_percent"": 44.44, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 57.14, ""f1_percent"": 50.0}, {""category"": ""weapons"", ""label"": 7, ""matched_count"": 6, ""purity_percent"": 42.86, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 33.33, ""f1_percent"": 37.5}]",0.157062
1,2026-03-14T21:12:42.707953+00:00,output/experiments/bmf/artifacts/exemplar/random/1/label_membership_cells.csv,19,68.54,58.06,64,39.51,"{""isColumnSplit"": ""false"", ""max_col"": ""15"", ""max_row"": ""15"", ""prah"": ""0.60""}","[{""category"": ""clothing"", ""label"": 2, ""matched_count"": 10, ""purity_percent"": 76.92, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 34.48, ""f1_percent"": 47.62}, {""category"": ""kitchen utensils"", ""label"": 5, ""matched_count"": 12, ""purity_percent"": 57.14, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 36.36, ""f1_percent"": 44.44}, {""category"": ""musical instruments"", ""label"": 20, ""matched_count"": 0, ""purity_percent"": 44.44, ""avg_feature_freq_weight"": 0.30854, ""recall_percent"": 0.0, ""f1_percent"": 0.0}, {""category"": ""tools"", ""label"": 10, ""matched_count"": 12, ""purity_percent"": 57.14, ""avg_feature_freq_weight"": 0.187328, ""recall_percent"": 42.86, ""f1_percent"": 48.98}, {""category"": ""vehicles"", ""label"": 8, ""matched_count"": 24, ""purity_percent"": 41.38, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 85.71, ""f1_percent"": 55.81}, {""category"": ""weapons"", ""label"": 13, ""matched_count"": 6, ""purity_percent"": 75.0, ""avg_feature_freq_weight"": 0.016299, ""recall_percent"": 33.33, ""f1_percent"": 46.15}]",0.146726
8,2026-03-14T21:12:49.296071+00:00,output/experiments/bmf/artifacts/exemplar/random/8/label_membership_cells.csv,16,64.91,55.64,58,35.8,"{""isColumnSplit"": ""false"", ""max_col"": ""16"", ""max_row"": ""20"", ""prah"": ""0.55""}","[{""category"": ""clothing"", ""label"": 2, ""matched_count"": 10, ""purity_percent"": 76.92, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 34.48, ""f1_percent"": 47.62}, {""category"": ""kitchen utensils"", ""label"": 5, ""matched_count"": 12, ""purity_percent"": 57.14, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 36.36, ""f1_percent"": 44.44}, {""category"": ""musical instruments"", ""label"": 11, ""matched_count"": 1, ""purity_percent"": 57.14, ""avg_feature_freq_weight"": 0.187328, ""recall_percent"": 3.85, ""f1_percent"": 7.21}, {""category"": ""tools"", ""label"": 10, ""matched_count"": 13, ""purity_percent"": 54.17, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 46.43, ""f1_percent"": 50.0}, {""category"": ""vehicles"", ""label"": 14, ""matched_count"": 16, ""purity_percent"": 43.24, ""avg_feature_freq_weight"": 0.137052, ""recall_percent"": 57.14, ""f1_percent"": 49.23}, {""category"": ""weapons"", ""label"": 13, ""matched_count"": 6, ""purity_percent"": 75.0, ""avg_feature_freq_weight"": 0.016299, ""recall_percent"": 33.33, ""f1_percent"": 46.15}]",0.101373
6,2026-03-14T21:12:47.530468+00:00,output/experiments/bmf/artifacts/exemplar/random/6/label_membership_cells.csv,63,75.87,66.61,61,37.65,"{""isColumnSplit"": ""true"", ""max_col"": ""10"", ""max_row"": ""10"", ""prah"": ""0.60""}","[{""category"": ""clothing"", ""label"": 63, ""matched_count"": 13, ""purity_percent"": 100.0, ""avg_feature_freq_weight"": 0.146006, ""recall_percent"": 44.83, ""f1_percent"": 61.91}, {""category"": ""kitchen utensils"", ""label"": 14, ""matched_count"": 17, ""purity_percent"": 70.83, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 51.52, ""f1_percent"": 59.65}, {""category"": ""musical instruments"", ""label"": 2, ""matched_count"": 13, ""purity_percent"": 92.86, ""avg_feature_freq_weight"": 0.166666, ""recall_percent"": 50.0, ""f1_percent"": 65.0}, {""category"": ""tools"", ""label"": 32, ""matched_count"": 6, ""purity_percent"": 40.0, ""avg_feature_freq_weight"": 0.30854, ""recall_percent"": 21.43, ""f1_percent"": 27.91}, {""category"": ""vehicles"", ""label"": 29, ""matched_count"": 6, ""purity_percent"": 46.15, ""avg_feature_freq_weight"": 0.137052, ""recall_percent"": 21.43, ""f1_percent"": 29.27}, {""category"": ""weapons"", ""label"": 12, ""matched_count"": 6, ""purity_percent"": 42.86, ""avg_feature_freq_weight"": 0.134068, ""recall_percent"": 33.33, ""f1_percent"": 37.5}]",0.066633
