run_id,created_utc,labels_file,n_labels,mean_purity_percent,weighted_purity_percent,distinct_category_match_count,distinct_category_match_accuracy_percent,params,best_distinct_mapping,overall_jaccard
5,2026-03-13T14:09:26.441758+00:00,output/experiments/bmf/artifacts/exemplar/all/5/label_membership_cells.csv,33,77.43,72.24,113,69.75,"{""isColumnSplit"": ""true"", ""max_col"": ""18"", ""max_row"": ""22"", ""prah"": ""0.58""}","[{""category"": ""clothing"", ""label"": 32, ""matched_count"": 25, ""purity_percent"": 100.0, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 86.21, ""f1_percent"": 92.59}, {""category"": ""kitchen utensils"", ""label"": 16, ""matched_count"": 18, ""purity_percent"": 90.0, ""avg_feature_freq_weight"": 0.232782, ""recall_percent"": 54.55, ""f1_percent"": 67.93}, {""category"": ""musical instruments"", ""label"": 33, ""matched_count"": 15, ""purity_percent"": 75.0, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 57.69, ""f1_percent"": 65.22}, {""category"": ""tools"", ""label"": 8, ""matched_count"": 24, ""purity_percent"": 60.0, ""avg_feature_freq_weight"": 0.052913, ""recall_percent"": 85.71, ""f1_percent"": 70.59}, {""category"": ""vehicles"", ""label"": 3, ""matched_count"": 25, ""purity_percent"": 71.43, ""avg_feature_freq_weight"": 0.061275, ""recall_percent"": 89.29, ""f1_percent"": 79.37}, {""category"": ""weapons"", ""label"": 25, ""matched_count"": 6, ""purity_percent"": 54.55, ""avg_feature_freq_weight"": 0.021579, ""recall_percent"": 33.33, ""f1_percent"": 41.38}]",0.096343
4,2026-03-13T14:09:24.771097+00:00,output/experiments/bmf/artifacts/exemplar/all/4/label_membership_cells.csv,36,76.02,71.38,114,70.37,"{""isColumnSplit"": ""true"", ""max_col"": ""18"", ""max_row"": ""22"", ""prah"": ""0.55""}","[{""category"": ""clothing"", ""label"": 34, ""matched_count"": 25, ""purity_percent"": 100.0, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 86.21, ""f1_percent"": 92.59}, {""category"": ""kitchen utensils"", ""label"": 17, ""matched_count"": 18, ""purity_percent"": 90.0, ""avg_feature_freq_weight"": 0.232782, ""recall_percent"": 54.55, ""f1_percent"": 67.93}, {""category"": ""musical instruments"", ""label"": 35, ""matched_count"": 15, ""purity_percent"": 75.0, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 57.69, ""f1_percent"": 65.22}, {""category"": ""tools"", ""label"": 9, ""matched_count"": 24, ""purity_percent"": 60.0, ""avg_feature_freq_weight"": 0.052913, ""recall_percent"": 85.71, ""f1_percent"": 70.59}, {""category"": ""vehicles"", ""label"": 3, ""matched_count"": 25, ""purity_percent"": 71.43, ""avg_feature_freq_weight"": 0.061275, ""recall_percent"": 89.29, ""f1_percent"": 79.37}, {""category"": ""weapons"", ""label"": 19, ""matched_count"": 7, ""purity_percent"": 70.0, ""avg_feature_freq_weight"": 0.0, ""recall_percent"": 38.89, ""f1_percent"": 50.0}]",0.096296
1,2026-03-13T14:06:10.098142+00:00,output/experiments/bmf/artifacts/exemplar/all/1/label_membership_cells.csv,62,84.26,77.28,90,55.56,"{""isColumnSplit"": ""false"", ""max_col"": ""15"", ""max_row"": ""15"", ""prah"": ""0.60""}","[{""category"": ""clothing"", ""label"": 50, ""matched_count"": 25, ""purity_percent"": 100.0, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 86.21, ""f1_percent"": 92.59}, {""category"": ""kitchen utensils"", ""label"": 18, ""matched_count"": 18, ""purity_percent"": 90.0, ""avg_feature_freq_weight"": 0.232782, ""recall_percent"": 54.55, ""f1_percent"": 67.93}, {""category"": ""musical instruments"", ""label"": 51, ""matched_count"": 15, ""purity_percent"": 75.0, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 57.69, ""f1_percent"": 65.22}, {""category"": ""tools"", ""label"": 10, ""matched_count"": 19, ""purity_percent"": 67.86, ""avg_feature_freq_weight"": 0.052913, ""recall_percent"": 67.86, ""f1_percent"": 67.86}, {""category"": ""vehicles"", ""label"": 5, ""matched_count"": 7, ""purity_percent"": 50.0, ""avg_feature_freq_weight"": 0.062996, ""recall_percent"": 25.0, ""f1_percent"": 33.33}, {""category"": ""weapons"", ""label"": 4, ""matched_count"": 6, ""purity_percent"": 42.86, ""avg_feature_freq_weight"": 0.062996, ""recall_percent"": 33.33, ""f1_percent"": 37.5}]",0.072842
8,2026-03-13T14:09:31.545318+00:00,output/experiments/bmf/artifacts/exemplar/all/8/label_membership_cells.csv,42,81.69,75.2,90,55.56,"{""isColumnSplit"": ""false"", ""max_col"": ""16"", ""max_row"": ""20"", ""prah"": ""0.55""}","[{""category"": ""clothing"", ""label"": 38, ""matched_count"": 25, ""purity_percent"": 100.0, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 86.21, ""f1_percent"": 92.59}, {""category"": ""kitchen utensils"", ""label"": 20, ""matched_count"": 18, ""purity_percent"": 90.0, ""avg_feature_freq_weight"": 0.232782, ""recall_percent"": 54.55, ""f1_percent"": 67.93}, {""category"": ""musical instruments"", ""label"": 39, ""matched_count"": 15, ""purity_percent"": 75.0, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 57.69, ""f1_percent"": 65.22}, {""category"": ""tools"", ""label"": 11, ""matched_count"": 19, ""purity_percent"": 67.86, ""avg_feature_freq_weight"": 0.052913, ""recall_percent"": 67.86, ""f1_percent"": 67.86}, {""category"": ""vehicles"", ""label"": 5, ""matched_count"": 7, ""purity_percent"": 50.0, ""avg_feature_freq_weight"": 0.062996, ""recall_percent"": 25.0, ""f1_percent"": 33.33}, {""category"": ""weapons"", ""label"": 4, ""matched_count"": 6, ""purity_percent"": 42.86, ""avg_feature_freq_weight"": 0.062996, ""recall_percent"": 33.33, ""f1_percent"": 37.5}]",0.072842
3,2026-03-13T14:09:23.063877+00:00,output/experiments/bmf/artifacts/exemplar/all/3/label_membership_cells.csv,44,80.33,73.63,102,62.96,"{""isColumnSplit"": ""true"", ""max_col"": ""15"", ""max_row"": ""20"", ""prah"": ""0.60""}","[{""category"": ""clothing"", ""label"": 39, ""matched_count"": 25, ""purity_percent"": 100.0, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 86.21, ""f1_percent"": 92.59}, {""category"": ""kitchen utensils"", ""label"": 17, ""matched_count"": 18, ""purity_percent"": 90.0, ""avg_feature_freq_weight"": 0.232782, ""recall_percent"": 54.55, ""f1_percent"": 67.93}, {""category"": ""musical instruments"", ""label"": 40, ""matched_count"": 15, ""purity_percent"": 75.0, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 57.69, ""f1_percent"": 65.22}, {""category"": ""tools"", ""label"": 42, ""matched_count"": 13, ""purity_percent"": 56.52, ""avg_feature_freq_weight"": 0.146006, ""recall_percent"": 46.43, ""f1_percent"": 50.98}, {""category"": ""vehicles"", ""label"": 3, ""matched_count"": 25, ""purity_percent"": 71.43, ""avg_feature_freq_weight"": 0.061275, ""recall_percent"": 89.29, ""f1_percent"": 79.37}, {""category"": ""weapons"", ""label"": 27, ""matched_count"": 6, ""purity_percent"": 54.55, ""avg_feature_freq_weight"": 0.021579, ""recall_percent"": 33.33, ""f1_percent"": 41.38}]",0.046756
7,2026-03-13T14:09:29.859866+00:00,output/experiments/bmf/artifacts/exemplar/all/7/label_membership_cells.csv,49,79.11,72.77,103,63.58,"{""isColumnSplit"": ""true"", ""max_col"": ""16"", ""max_row"": ""20"", ""prah"": ""0.55""}","[{""category"": ""clothing"", ""label"": 43, ""matched_count"": 25, ""purity_percent"": 100.0, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 86.21, ""f1_percent"": 92.59}, {""category"": ""kitchen utensils"", ""label"": 21, ""matched_count"": 18, ""purity_percent"": 90.0, ""avg_feature_freq_weight"": 0.232782, ""recall_percent"": 54.55, ""f1_percent"": 67.93}, {""category"": ""musical instruments"", ""label"": 44, ""matched_count"": 15, ""purity_percent"": 75.0, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 57.69, ""f1_percent"": 65.22}, {""category"": ""tools"", ""label"": 46, ""matched_count"": 13, ""purity_percent"": 56.52, ""avg_feature_freq_weight"": 0.146006, ""recall_percent"": 46.43, ""f1_percent"": 50.98}, {""category"": ""vehicles"", ""label"": 3, ""matched_count"": 25, ""purity_percent"": 71.43, ""avg_feature_freq_weight"": 0.061275, ""recall_percent"": 89.29, ""f1_percent"": 79.37}, {""category"": ""weapons"", ""label"": 23, ""matched_count"": 7, ""purity_percent"": 70.0, ""avg_feature_freq_weight"": 0.0, ""recall_percent"": 38.89, ""f1_percent"": 50.0}]",0.046681
9,2026-03-13T14:09:33.400404+00:00,output/experiments/bmf/artifacts/exemplar/all/9/label_membership_cells.csv,49,79.11,72.77,103,63.58,"{""isColumnSplit"": ""true"", ""max_col"": ""16"", ""max_row"": ""20"", ""prah"": ""0.52""}","[{""category"": ""clothing"", ""label"": 43, ""matched_count"": 25, ""purity_percent"": 100.0, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 86.21, ""f1_percent"": 92.59}, {""category"": ""kitchen utensils"", ""label"": 21, ""matched_count"": 18, ""purity_percent"": 90.0, ""avg_feature_freq_weight"": 0.232782, ""recall_percent"": 54.55, ""f1_percent"": 67.93}, {""category"": ""musical instruments"", ""label"": 44, ""matched_count"": 15, ""purity_percent"": 75.0, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 57.69, ""f1_percent"": 65.22}, {""category"": ""tools"", ""label"": 46, ""matched_count"": 13, ""purity_percent"": 56.52, ""avg_feature_freq_weight"": 0.146006, ""recall_percent"": 46.43, ""f1_percent"": 50.98}, {""category"": ""vehicles"", ""label"": 3, ""matched_count"": 25, ""purity_percent"": 71.43, ""avg_feature_freq_weight"": 0.061275, ""recall_percent"": 89.29, ""f1_percent"": 79.37}, {""category"": ""weapons"", ""label"": 23, ""matched_count"": 7, ""purity_percent"": 70.0, ""avg_feature_freq_weight"": 0.0, ""recall_percent"": 38.89, ""f1_percent"": 50.0}]",0.046681
2,2026-03-13T14:09:21.017954+00:00,output/experiments/bmf/artifacts/exemplar/all/2/label_membership_cells.csv,77,81.4,74.87,85,52.47,"{""isColumnSplit"": ""true"", ""max_col"": ""15"", ""max_row"": ""15"", ""prah"": ""0.60""}","[{""category"": ""clothing"", ""label"": 58, ""matched_count"": 25, ""purity_percent"": 100.0, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 86.21, ""f1_percent"": 92.59}, {""category"": ""kitchen utensils"", ""label"": 17, ""matched_count"": 18, ""purity_percent"": 90.0, ""avg_feature_freq_weight"": 0.232782, ""recall_percent"": 54.55, ""f1_percent"": 67.93}, {""category"": ""musical instruments"", ""label"": 59, ""matched_count"": 15, ""purity_percent"": 75.0, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 57.69, ""f1_percent"": 65.22}, {""category"": ""tools"", ""label"": 65, ""matched_count"": 13, ""purity_percent"": 56.52, ""avg_feature_freq_weight"": 0.146006, ""recall_percent"": 46.43, ""f1_percent"": 50.98}, {""category"": ""vehicles"", ""label"": 31, ""matched_count"": 8, ""purity_percent"": 88.89, ""avg_feature_freq_weight"": 0.161157, ""recall_percent"": 28.57, ""f1_percent"": 43.24}, {""category"": ""weapons"", ""label"": 34, ""matched_count"": 6, ""purity_percent"": 54.55, ""avg_feature_freq_weight"": 0.021579, ""recall_percent"": 33.33, ""f1_percent"": 41.38}]",0.006171
6,2026-03-13T14:09:28.098511+00:00,output/experiments/bmf/artifacts/exemplar/all/6/label_membership_cells.csv,142,84.2,77.21,79,48.77,"{""isColumnSplit"": ""true"", ""max_col"": ""10"", ""max_row"": ""10"", ""prah"": ""0.6""}","[{""category"": ""clothing"", ""label"": 98, ""matched_count"": 25, ""purity_percent"": 100.0, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 86.21, ""f1_percent"": 92.59}, {""category"": ""kitchen utensils"", ""label"": 19, ""matched_count"": 18, ""purity_percent"": 90.0, ""avg_feature_freq_weight"": 0.232782, ""recall_percent"": 54.55, ""f1_percent"": 67.93}, {""category"": ""musical instruments"", ""label"": 99, ""matched_count"": 15, ""purity_percent"": 75.0, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 57.69, ""f1_percent"": 65.22}, {""category"": ""tools"", ""label"": 103, ""matched_count"": 7, ""purity_percent"": 77.78, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 25.0, ""f1_percent"": 37.84}, {""category"": ""vehicles"", ""label"": 135, ""matched_count"": 7, ""purity_percent"": 77.78, ""avg_feature_freq_weight"": 0.339531, ""recall_percent"": 25.0, ""f1_percent"": 37.84}, {""category"": ""weapons"", ""label"": 44, ""matched_count"": 7, ""purity_percent"": 70.0, ""avg_feature_freq_weight"": 0.205234, ""recall_percent"": 38.89, ""f1_percent"": 50.0}]",0.004881
