category,correlation,p_value,n_samples,significance
tools,-0.109176,0.580247,28,not significant
vehicles,0.183892,0.330677,30,not significant
clothing,-0.071658,0.711834,29,not significant
kitchen utensils,-0.227105,0.203728,33,not significant
musical instruments,-0.154201,0.442517,27,not significant
weapons,-0.099382,0.694803,18,not significant
