category,correlation,p_value,n_samples,significance
birds,-0.207683,0.288931,28,not significant
fish,-0.017026,0.938541,23,not significant
insects,-0.210881,0.311604,25,not significant
mammals,0.392746,0.031804,30,significant
reptiles,0.717152,0.000549,19,highly significant
