label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,clothing,kitchen utensils,musical instruments,tools,vehicles,weapons,unknown
2,24,vehicles,20,28,83.33,71.43,76.92,77,77,0.124905,0,2,0,0,20,0,2
3,8,vehicles,7,28,87.5,25.0,38.89,26,26,0.106335,0,1,0,0,7,0,0
4,57,clothing,29,29,50.88,100.0,67.44,26,26,0.106335,29,1,26,0,0,0,1
5,26,clothing,26,29,100.0,89.66,94.55,36,36,0.076797,26,0,0,0,0,0,0
6,47,tools,24,28,51.06,85.71,64.0,29,29,0.12069,0,7,0,24,0,15,1
7,30,kitchen utensils,22,33,73.33,66.67,69.84,29,29,0.12069,0,22,0,4,1,3,0
8,18,vehicles,15,28,83.33,53.57,65.22,26,26,0.135747,0,1,0,0,15,0,2
9,3,musical instruments,2,26,66.67,7.69,13.79,1,1,0.029412,0,1,2,0,0,0,0
10,54,clothing,29,29,53.7,100.0,69.88,1,1,0.029412,29,0,24,0,0,0,1
11,30,musical instruments,26,26,86.67,100.0,92.86,39,39,0.05279,2,1,26,0,0,0,1
12,1,clothing,1,29,100.0,3.45,6.67,36,36,0.076797,1,0,0,0,0,0,0
13,46,tools,24,28,52.17,85.71,64.86,24,24,0.144608,0,7,0,24,0,14,1
14,4,tools,3,28,75.0,10.71,18.75,1,1,0.0,0,0,0,3,0,0,1
15,46,tools,21,28,45.65,75.0,56.76,1,1,0.0,0,10,0,21,0,15,0
16,12,kitchen utensils,9,33,75.0,27.27,40.0,4,4,0.036765,0,9,0,1,1,1,0
17,23,vehicles,19,28,82.61,67.86,74.51,1,1,0.382353,0,2,0,0,19,0,2
18,2,kitchen utensils,2,33,100.0,6.06,11.43,16,16,0.117647,0,2,0,0,0,0,0
19,1,weapons,1,18,100.0,5.56,10.53,1,1,0.176471,0,0,0,0,0,1,0
