category,correlation,p_value,n_samples,significance
tools,0.274772,0.157046,28,not significant
vehicles,0.775012,0.0,30,highly significant
clothing,0.543722,0.002299,29,very significant
kitchen utensils,0.083034,0.645948,33,not significant
musical instruments,0.380914,0.049967,27,significant
weapons,0.662591,0.002731,18,very significant
