category,correlation,p_value,n_samples,significance
tools,-0.136235,0.489406,28,not significant
vehicles,-0.273873,0.14306,30,not significant
clothing,-0.136068,0.481558,29,not significant
kitchen utensils,-0.18931,0.291358,33,not significant
musical instruments,-0.043422,0.829725,27,not significant
weapons,-0.462779,0.053126,18,not significant
