attribute,category,bundles,bundle_specific_attribute,normalized_freq,importance_rating,columnwise_similarity
is rare,birds,2,True,0.053388,2.166667,0.126984
is rare,fish,2,True,0.053388,,0.126984
is rare,mammals,2,True,0.053388,2.666667,0.126984
is rare,reptiles,2,True,0.053388,4.083333,0.126984
makes web,insects,"1, 4",False,0.045175,4.166667,0.000000
climbs in trees,mammals,,False,0.008214,3.583333,0.000000
climbs in trees,reptiles,,False,0.008214,,0.000000
zebra crossing (pedestrian-),mammals,,False,0.004107,2.250000,0.000000
moves by contracting,insects,,False,0.006160,3.916667,0.000000
moves by contracting,reptiles,,False,0.006160,,0.000000
has tusks,mammals,,False,0.022587,3.333333,0.000000
is good for soil,insects,,False,0.002053,4.583333,0.000000
used in research,birds,"1, 2, 3, 4, 5",False,0.008214,,0.054264
used in research,mammals,"1, 2, 3, 4, 5",False,0.008214,,0.054264
doesn't sting,birds,,False,0.012320,,0.000000
doesn't sting,fish,,False,0.012320,,0.000000
doesn't sting,insects,,False,0.012320,3.583333,0.000000
doesn't sting,mammals,,False,0.012320,,0.000000
doesn't sting,reptiles,,False,0.012320,,0.000000
lives on a farm,birds,2,True,0.082136,3.666667,0.244444
lives on a farm,insects,2,True,0.082136,,0.244444
lives on a farm,mammals,2,True,0.082136,3.916667,0.244444
is a prototypical bird,birds,,False,0.000000,4.083333,0.000000
is used as food for reptiles,insects,,False,0.000000,4.500000,0.000000
is used as food for reptiles,mammals,,False,0.000000,,0.000000
makes not much noise,birds,"1, 2, 3, 4, 5",False,0.026694,,0.643411
makes not much noise,fish,"1, 2, 3, 4, 5",False,0.026694,,0.643411
makes not much noise,insects,"1, 2, 3, 4, 5",False,0.026694,,0.643411
makes not much noise,mammals,"1, 2, 3, 4, 5",False,0.026694,2.583333,0.643411
makes not much noise,reptiles,"1, 2, 3, 4, 5",False,0.026694,4.916667,0.643411
has sharp claws,birds,,False,0.004107,4.750000,0.000000
has sharp claws,mammals,,False,0.004107,4.416667,0.000000
has sharp claws,reptiles,,False,0.004107,4.750000,0.000000
doesn't live in our country,birds,4,True,0.055441,,0.311475
doesn't live in our country,fish,4,True,0.055441,,0.311475
doesn't live in our country,mammals,4,True,0.055441,2.833333,0.311475
doesn't live in our country,reptiles,4,True,0.055441,3.333333,0.311475
is green,birds,,False,0.334702,2.000000,0.000000
is green,fish,,False,0.334702,,0.000000
is green,insects,,False,0.334702,4.083333,0.000000
is green,reptiles,,False,0.334702,4.583333,0.000000
also lives in the city,birds,5,True,0.006160,4.500000,0.000000
also lives in the city,insects,5,True,0.006160,,0.000000
also lives in the city,mammals,5,True,0.006160,,0.000000
is a salt-water fish,fish,,False,0.032854,5.416667,0.000000
is a salt-water fish,mammals,,False,0.032854,,0.000000
is a salt-water fish,reptiles,,False,0.032854,,0.000000
children like to catch them,birds,"1, 2, 3, 4",False,0.000000,,0.060870
children like to catch them,insects,"1, 2, 3, 4",False,0.000000,4.666667,0.060870
children like to catch them,reptiles,"1, 2, 3, 4",False,0.000000,,0.060870
has poison fangs,insects,,False,0.006160,,0.000000
has poison fangs,reptiles,,False,0.006160,4.916667,0.000000
grazes,mammals,,False,0.002053,4.416667,0.000000
lives in cold areas,birds,,False,0.045175,2.666667,0.000000
lives in cold areas,fish,,False,0.045175,,0.000000
lives in cold areas,insects,,False,0.045175,,0.000000
lives in cold areas,mammals,,False,0.045175,3.166667,0.000000
lives in cold areas,reptiles,,False,0.045175,,0.000000
uses pollen from flowers,insects,1,True,0.000000,4.583333,0.000000
is beautiful,birds,,False,0.147844,4.000000,0.000000
is beautiful,fish,,False,0.147844,4.083333,0.000000
is beautiful,insects,,False,0.147844,2.333333,0.000000
is beautiful,mammals,,False,0.147844,4.000000,0.000000
is beautiful,reptiles,,False,0.147844,2.833333,0.000000
mammal,fish,4,True,0.568789,3.416667,0.092593
mammal,mammals,4,True,0.568789,6.416667,0.092593
is a bird of prey,birds,,False,0.078029,4.666667,0.000000
is a scavenging animal,birds,"1, 2, 3, 4, 5",False,0.039014,4.166667,0.271318
is a scavenging animal,fish,"1, 2, 3, 4, 5",False,0.039014,,0.271318
is a scavenging animal,insects,"1, 2, 3, 4, 5",False,0.039014,4.583333,0.271318
is a scavenging animal,mammals,"1, 2, 3, 4, 5",False,0.039014,,0.271318
is a scavenging animal,reptiles,"1, 2, 3, 4, 5",False,0.039014,,0.271318
is not dangerous,birds,,False,0.051335,4.000000,0.000000
is not dangerous,fish,,False,0.051335,5.166667,0.000000
is not dangerous,insects,,False,0.051335,5.166667,0.000000
is not dangerous,mammals,,False,0.051335,,0.000000
is not dangerous,reptiles,,False,0.051335,3.583333,0.000000
shot for its skin,mammals,1,True,0.004107,3.250000,0.294118
shot for its skin,reptiles,1,True,0.004107,,0.294118
prey,birds,"1, 2, 4, 5",False,0.012320,,0.767442
prey,fish,"1, 2, 4, 5",False,0.012320,,0.767442
prey,insects,"1, 2, 4, 5",False,0.012320,,0.767442
prey,mammals,"1, 2, 4, 5",False,0.012320,4.000000,0.767442
prey,reptiles,"1, 2, 4, 5",False,0.012320,,0.767442
has large eyes,birds,"1, 2, 3, 4, 5",False,0.045175,3.083333,0.286822
has large eyes,fish,"1, 2, 3, 4, 5",False,0.045175,3.166667,0.286822
