label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,clothing,kitchen utensils,musical instruments,tools,vehicles,weapons,unknown
2,54,clothing,29,29,53.7,100.0,69.88,27,27,0.102397,29,0,24,0,0,0,1
3,18,vehicles,15,28,83.33,53.57,65.22,137,137,0.11593,0,1,0,0,15,0,2
4,6,vehicles,5,28,83.33,17.86,29.41,77,77,0.124905,0,1,0,0,5,0,0
5,26,clothing,26,29,100.0,89.66,94.55,47,47,0.062578,26,0,0,0,0,0,0
6,24,tools,14,28,58.33,50.0,53.85,29,29,0.12069,0,1,0,14,0,8,1
7,27,tools,11,28,40.74,39.29,40.0,29,29,0.12069,0,9,0,11,0,7,0
8,1,clothing,1,29,100.0,3.45,6.67,40,40,0.064706,1,0,0,0,0,0,0
9,1,weapons,1,18,100.0,5.56,10.53,1,1,0.176471,0,0,0,0,0,1,0
10,17,musical instruments,16,26,94.12,61.54,74.42,46,46,0.060102,0,0,16,0,0,0,1
11,1,tools,1,28,100.0,3.57,6.9,1,1,0.117647,0,0,0,1,0,0,0
12,6,weapons,5,18,83.33,27.78,41.67,1,1,0.029412,0,1,0,0,0,5,0
13,34,tools,17,28,50.0,60.71,54.84,1,1,0.294118,0,9,0,17,0,8,0
14,10,musical instruments,8,26,80.0,30.77,44.44,8,8,0.0625,2,0,8,0,0,0,0
15,9,tools,8,28,88.89,28.57,43.24,1,1,0.0,0,0,0,8,0,1,0
