label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,clothing,kitchen utensils,musical instruments,tools,vehicles,weapons,unknown
2,13,clothing,10,29,76.92,34.48,47.62,9,9,0.134068,10,3,0,0,0,0,0
3,9,clothing,9,29,100.0,31.03,47.37,9,9,0.134068,9,0,0,0,0,0,0
4,13,kitchen utensils,10,33,76.92,30.3,43.48,9,9,0.134068,1,10,0,1,0,0,1
5,21,kitchen utensils,12,33,57.14,36.36,44.44,9,9,0.134068,9,12,0,0,0,0,0
6,15,clothing,9,29,60.0,31.03,40.91,3,3,0.000918,9,6,0,0,0,0,0
7,17,kitchen utensils,10,33,58.82,30.3,40.0,2,2,0.01033,7,10,0,0,0,0,0
8,4,kitchen utensils,2,33,50.0,6.06,10.81,2,2,0.01033,2,2,0,0,0,0,0
9,58,vehicles,24,28,41.38,85.71,55.81,9,9,0.134068,0,1,12,4,24,16,1
10,24,tools,13,28,54.17,46.43,50.0,9,9,0.134068,0,4,1,13,4,2,0
11,21,tools,12,28,57.14,42.86,48.98,1,1,0.187328,0,3,1,12,3,2,0
12,3,vehicles,1,28,33.33,3.57,6.45,6,6,0.038338,0,1,0,1,1,0,0
13,8,weapons,6,18,75.0,33.33,46.15,6,6,0.016299,0,0,0,1,1,6,0
14,37,vehicles,16,28,43.24,57.14,49.23,2,2,0.137052,0,1,3,4,16,12,1
15,11,vehicles,6,28,54.55,21.43,30.77,6,6,0.016299,0,0,3,0,6,2,0
16,2,weapons,2,18,100.0,11.11,20.0,1,1,0.001377,0,0,0,0,0,2,0
17,1,tools,1,28,100.0,3.57,6.9,6,6,0.038338,0,0,0,1,0,0,0
