category,correlation,p_value,n_samples,significance
tools,0.243818,0.211184,28,not significant
vehicles,-0.32805,0.07676,30,not significant
clothing,0.121092,0.531495,29,not significant
kitchen utensils,0.193868,0.279679,33,not significant
musical instruments,0.137897,0.492767,27,not significant
weapons,-0.697041,0.001305,18,very significant
