category,correlation,p_value,n_samples,significance
tools,-0.524295,0.003506,29,very significant
vehicles,0.479383,0.007353,30,very significant
clothing,0.107029,0.580531,29,not significant
kitchen utensils,0.176532,0.325735,33,not significant
musical instruments,0.363371,0.062455,27,not significant
weapons,-0.712404,0.000909,18,highly significant
