category,correlation,p_value,n_samples,significance
tools,0.258608,0.183923,28,not significant
vehicles,-0.332204,0.072882,30,not significant
clothing,0.121092,0.531495,29,not significant
kitchen utensils,0.193868,0.279679,33,not significant
musical instruments,0.137897,0.492767,27,not significant
weapons,-0.730783,0.000571,18,highly significant
