row_block,col_block,row_start_1based,row_end_1based,col_start_1based,col_end_1based,ones,total_cells,fraction,density
1,1,1,43,1,255,306,10965,306/10965,0.027907
1,2,1,43,256,510,833,10965,833/10965,0.075969
1,3,1,43,511,764,0,10922,0/10922,0.000000
2,1,44,86,1,255,0,10965,0/10965,0.000000
2,2,44,86,256,510,1201,10965,1201/10965,0.109530
2,3,44,86,511,764,0,10922,0/10922,0.000000
3,1,87,129,1,255,4,10965,4/10965,0.000365
3,2,87,129,256,510,414,10965,414/10965,0.037756
3,3,87,129,511,764,0,10922,0/10922,0.000000
