label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,birds,fish,insects,mammals,reptiles,unknown
2,14,fish,14,23,100.0,60.87,75.68,54,54,0.087243,0,14,0,0,0,0
3,20,fish,20,23,100.0,86.96,93.02,19,19,0.065497,0,20,0,0,0,0
4,16,fish,9,23,56.25,39.13,46.15,20,20,0.082222,0,9,0,7,0,0
5,2,mammals,2,30,100.0,6.67,12.5,5,5,0.16,0,0,0,2,0,0
6,14,mammals,14,30,100.0,46.67,63.64,64,64,0.0875,0,0,0,14,0,0
7,52,birds,30,30,57.69,100.0,73.17,84,84,0.085714,30,0,3,2,17,0
8,3,insects,3,26,100.0,11.54,20.69,73,73,0.086454,0,0,3,0,0,0
9,3,fish,3,23,100.0,13.04,23.08,13,13,0.076923,0,3,0,0,0,0
10,1,fish,1,23,100.0,4.35,8.33,1,1,0.0,0,1,0,0,0,0
11,28,reptiles,17,20,60.71,85.0,70.83,9,9,0.046913,9,0,0,2,17,0
12,20,insects,20,26,100.0,76.92,86.96,54,54,0.087243,0,0,20,0,0,0
13,10,insects,10,26,100.0,38.46,55.56,18,18,0.04321,0,0,10,0,0,0
14,13,insects,13,26,100.0,50.0,66.67,18,18,0.04321,0,0,13,0,0,0
