label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,birds,fish,insects,mammals,reptiles,unknown
2,10,mammals,5,30,50.0,16.67,25.0,23,23,0.060977,0,1,0,5,4,0
3,21,mammals,21,30,100.0,70.0,82.35,23,23,0.060977,0,0,0,21,0,0
4,9,birds,4,30,44.44,13.33,20.51,1,1,0.082136,4,0,0,0,4,1
5,3,reptiles,3,20,100.0,15.0,26.09,1,1,0.412731,0,0,0,0,3,0
6,5,reptiles,5,20,100.0,25.0,40.0,7,7,0.036668,0,0,0,0,5,0
7,26,mammals,22,30,84.62,73.33,78.57,1,1,0.059548,0,0,0,22,4,0
8,21,birds,14,30,66.67,46.67,54.9,1,1,0.020534,14,2,0,0,3,2
9,8,insects,8,26,100.0,30.77,47.06,11,11,0.089416,0,0,8,0,0,0
10,4,insects,3,26,75.0,11.54,20.0,13,13,0.087032,0,0,3,0,0,1
11,12,insects,12,26,100.0,46.15,63.16,17,17,0.068849,0,0,12,0,0,0
12,13,fish,12,23,92.31,52.17,66.67,7,7,0.119097,0,12,1,0,0,0
13,1,fish,1,23,100.0,4.35,8.33,5,5,0.009856,0,1,0,0,0,0
14,22,insects,21,26,95.45,80.77,87.5,3,3,0.312115,0,0,21,0,0,1
15,2,insects,2,26,100.0,7.69,14.29,3,3,0.312115,0,0,2,0,0,0
16,10,insects,9,26,90.0,34.62,50.0,21,21,0.055833,0,0,9,0,0,1
17,14,insects,14,26,100.0,53.85,70.0,21,21,0.055833,0,0,14,0,0,0
18,29,fish,16,23,55.17,69.57,61.54,3,3,0.12115,11,16,1,0,0,1
19,14,fish,13,23,92.86,56.52,70.27,23,23,0.05562,0,13,1,0,0,0
20,11,birds,7,30,63.64,23.33,34.15,17,17,0.062085,7,3,0,0,0,1
21,20,birds,13,30,65.0,43.33,52.0,47,47,0.057233,13,2,0,0,4,1
22,27,reptiles,11,20,40.74,55.0,46.81,47,47,0.057233,8,3,0,4,11,1
23,16,mammals,16,30,100.0,53.33,69.57,3,3,0.237508,0,0,0,16,0,0
24,3,mammals,3,30,100.0,10.0,18.18,3,3,0.237508,0,0,0,3,0,0
25,1,birds,1,30,100.0,3.33,6.45,1,1,0.01848,1,0,0,0,0,0
26,3,mammals,3,30,100.0,10.0,18.18,1,1,0.032854,0,0,0,3,0,0
27,3,reptiles,3,20,100.0,15.0,26.09,4,4,0.036961,0,0,0,0,3,0
