category,exemplar,typicality_rating,rowwise_similarity,bundles
birds,eagle,16.9259259259259,0.0,2
birds,dove,18.1428571428571,0.017241379310344827,3
birds,duck,12.7857142857142,0.06779661016949153,4
birds,magpie,17.8928571428571,0.0,2
birds,pheasant,13.7142857142857,0.025,3
birds,vulture,15.1428571428571,0.0,2
birds,rooster,11.0714285714285,0.02857142857142857,3
birds,turkey,11.6785714285714,0.01020408163265306,3
birds,canary,17.8928571428571,,
birds,chicken,11.5714285714285,,
birds,cuckoo,16.0,0.0,2
birds,crow,18.1071428571428,0.0,2
birds,chickadee,17.1071428571428,0.0,2
birds,seagull,17.9642857142857,0.02247191011235955,3
birds,blackbird,18.8214285714285,0.0,2
birds,sparrow,19.1785714285714,0.0,2
birds,stork,15.3928571428571,0.0,2
birds,parrot,15.8571428571428,0.0,2
birds,parakeet,17.6428571428571,0.01020408163265306,3
birds,peacock,12.2857142857142,0.012658227848101266,3
birds,pelican,12.5714285714285,0.0,2
birds,penguin,8.64285714285714,0.0,2
birds,heron,16.1071428571428,0.011494252873563218,3
birds,robin,18.3214285714285,0.0,2
birds,woodpecker,16.4285714285714,0.0,2
birds,ostrich,11.2142857142857,0.0,2
birds,owl,16.0,0.0,2
birds,falcon,15.5,0.0,2
birds,swan,12.8214285714285,0.09195402298850575,4
birds,swallow,17.8571428571428,0.0,2
fish,anchovy,13.1428571428571,0.0,2
fish,dolphin,9.17857142857142,0.0,2
fish,trout,17.8928571428571,0.0,2
fish,goldfish,18.8928571428571,0.0,2
fish,shark,13.2142857142857,0.0,2
fish,herring,17.0714285714285,0.0,2
fish,squid,10.6785714285714,0.0,2
fish,cod,18.1071428571428,0.0,2
fish,carp,16.0,0.04395604395604396,5
fish,orca,9.85714285714285,0.0,2
fish,eel,15.6785714285714,0.0,2
fish,piranha,15.3214285714285,0.009174311926605505,3
fish,plaice,15.9615384615384,0.0,2
fish,flatfish,14.3214285714285,0.0,2
fish,sperm whale,9.89285714285714,0.019417475728155338,4
fish,ray,14.5,0.0,2
fish,sardine,15.5357142857142,0.0,2
fish,pike,16.2857142857142,0.05747126436781609,5
fish,stickleback,14.75,0.0,2
fish,sole,15.1428571428571,0.0,2
fish,whale,10.4285714285714,0.0,2
fish,salmon,18.3928571428571,0.050505050505050504,5
fish,swordfish,14.6428571428571,0.0,2
insects,bee,17.0714285714285,0.0,2
insects,leech,11.3571428571428,0.0,2
insects,horsefly,15.92,0.03409090909090909,6
insects,centipede,13.7857142857142,0.0,2
insects,fruit fly,16.25,0.034482758620689655,6
insects,bumblebee,15.8571428571428,0.03225806451612903,6
insects,cockroach,16.9642857142857,0.023255813953488372,6
insects,beetle,16.25,0.03571428571428571,6
insects,cricket,16.3214285714285,0.0,2
insects,dragonfly,16.3571428571428,0.0375,6
insects,ladybug,15.3928571428571,0.0,2
insects,louse,13.3214285714285,0.0,2
insects,cockchafer,15.0357142857142,,
insects,ant,17.0,0.021052631578947368,6
insects,moth,14.6785714285714,0.0379746835443038,6
insects,mosquito,18.3928571428571,0.03225806451612903,6
insects,earwig,13.8928571428571,0.0,2
insects,wood louse,17.2857142857142,0.023255813953488372,6
insects,caterpillar,14.1785714285714,0.0,2
insects,spider,12.25,0.02702702702702703,5
insects,grasshopper,16.6071428571428,0.0,2
insects,fly,18.2142857142857,0.034482758620689655,6
insects,butterfly,13.3928571428571,0.0,2
insects,flee,13.6071428571428,0.0,2
insects,wasp,17.25,0.03225806451612903,6
insects,worm,10.1785714285714,0.0,2
mammals,monkey,17.9285714285714,0.015503875968992248,1
mammals,beaver,14.0,0.0,2
mammals,bison,15.1428571428571,0.019417475728155338,1
mammals,dromedary,14.4285714285714,0.02127659574468085,1
mammals,squirrel,14.5714285714285,0.0,2
mammals,hedgehog,13.1785714285714,0.0,2
mammals,donkey,16.8214285714285,0.019230769230769232,1
mammals,giraffe,15.9642857142857,0.022222222222222223,1
mammals,hamster,14.5714285714285,0.0,2
mammals,deer,16.5357142857142,0.0,2
mammals,dog,18.5357142857142,0.014285714285714285,1
mammals,polar bear,15.1428571428571,0.017241379310344827,1
mammals,kangaroo,14.75,0.0,2
mammals,cat,18.5357142857142,0.014285714285714285,1
mammals,cow,17.6071428571428,0.01652892561983471,1
mammals,rabbit,16.6428571428571,0.0,2
mammals,llama,14.6428571428571,0.023255813953488372,1
mammals,lion,17.6785714285714,0.0,2
mammals,mouse,15.6785714285714,0.0,2
mammals,rhinoceros,15.1428571428571,0.020202020202020204,1
mammals,hippopotamus,14.6071428571428,0.019801980198019802,1
mammals,elephant,16.25,0.016129032258064516,1
mammals,horse,17.5357142857142,0.015384615384615385,1
mammals,sheep,17.4285714285714,0.018867924528301886,1
mammals,tiger,17.0714285714285,0.015151515151515152,1
mammals,pig,17.1785714285714,0.0,2
mammals,bat,10.8571428571428,0.0,2
mammals,fox,16.25,0.017543859649122806,1
mammals,wolf,17.0357142857142,0.024390243902439025,1
mammals,zebra,16.0357142857142,0.02,1
reptiles,viper,13.5555555555555,,
reptiles,alligator,16.4285714285714,0.0,2
reptiles,boa,13.8571428571428,0.0,2
reptiles,cobra,13.9285714285714,0.0,2
reptiles,dinosaur,11.9642857142857,0.0,2
reptiles,gecko,14.44,0.0,2
reptiles,lizard,17.6785714285714,0.0,2
reptiles,blindworm,5.13636363636363,0.031578947368421054,3
reptiles,caiman,13.76,0.0,2
reptiles,chameleon,16.6428571428571,0.0,2
reptiles,frog,11.4074074074074,0.016260162601626018,3
reptiles,crocodile,17.4642857142857,0.0,2
reptiles,iguana,17.0357142857142,0.0,2
reptiles,toad,11.1071428571428,0.02631578947368421,3
reptiles,python,13.9642857142857,0.0,2
reptiles,salamander,13.9285714285714,0.024793388429752067,3
reptiles,tortoise,15.1785714285714,0.0,2
reptiles,snake,15.9285714285714,0.0,2
reptiles,monitor lizard,14.4230769230769,0.0,2
reptiles,turtle,13.3214285714285,0.0,2
