category,correlation,p_value,n_samples,significance
tools,0.01319,0.946889,28,not significant
vehicles,-0.118448,0.53302,30,not significant
clothing,-0.280569,0.140414,29,not significant
kitchen utensils,-0.388682,0.025389,33,significant
musical instruments,-0.056153,0.780866,27,not significant
weapons,-0.49241,0.037898,18,significant
