label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,clothing,kitchen utensils,musical instruments,tools,vehicles,weapons,unknown
2,28,vehicles,26,28,92.86,92.86,92.86,16,16,0.061467,0,0,0,1,26,1,0
3,57,clothing,29,29,50.88,100.0,67.44,21,21,0.152368,29,2,25,0,0,0,1
4,59,kitchen utensils,28,33,47.46,84.85,60.87,22,22,0.149011,0,28,1,23,0,6,1
5,27,vehicles,26,28,96.3,92.86,94.55,21,21,0.152368,0,0,0,0,26,1,0
6,2,weapons,2,18,100.0,11.11,20.0,11,11,0.115828,0,0,0,0,0,2,0
7,19,musical instruments,16,26,84.21,61.54,71.11,5,5,0.182645,0,1,16,1,0,0,1
8,2,vehicles,2,28,100.0,7.14,13.33,4,4,0.076102,0,0,0,0,2,0,0
9,29,clothing,28,29,96.55,96.55,96.55,15,15,0.092929,28,1,0,0,0,0,0
10,10,musical instruments,9,26,90.0,34.62,50.0,9,9,0.129324,1,0,9,0,0,0,0
11,3,kitchen utensils,3,33,100.0,9.09,16.67,1,1,0.039945,0,3,0,0,0,0,0
12,27,musical instruments,24,26,88.89,92.31,90.57,3,3,0.198806,1,1,24,0,0,0,1
13,11,kitchen utensils,8,33,72.73,24.24,36.36,3,3,0.059688,0,8,0,3,0,0,0
14,17,tools,9,28,52.94,32.14,40.0,8,8,0.094525,0,6,0,9,0,2,0
15,17,tools,9,28,52.94,32.14,40.0,8,8,0.094525,0,4,0,9,0,4,0
16,9,vehicles,9,28,100.0,32.14,48.65,6,6,0.185262,0,0,0,0,9,0,0
17,16,vehicles,15,28,93.75,53.57,68.18,6,6,0.185262,0,0,0,0,15,1,0
