label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,clothing,kitchen utensils,musical instruments,tools,vehicles,weapons,unknown
2,33,vehicles,30,28,90.91,107.14,98.36,27,27,0.042853,1,2,0,0,30,0,0
3,10,clothing,9,29,90.0,31.03,46.15,7,7,0.029713,9,1,0,0,0,0,0
4,19,clothing,19,29,100.0,65.52,79.17,7,7,0.029713,19,0,0,0,0,0,0
5,21,musical instruments,21,26,100.0,80.77,89.36,13,13,0.076499,0,0,21,0,0,0,0
6,9,kitchen utensils,7,33,77.78,21.21,33.33,1,1,0.0,0,7,0,2,0,0,0
7,8,musical instruments,8,26,100.0,30.77,47.06,19,19,0.069595,0,0,8,0,0,0,0
8,4,musical instruments,2,26,50.0,7.69,13.33,17,17,0.059309,0,0,2,1,0,0,1
9,57,tools,27,28,47.37,96.43,63.53,17,17,0.059309,0,9,3,27,0,17,1
10,5,kitchen utensils,5,33,100.0,15.15,26.32,1,1,0.011019,0,5,0,0,0,0,0
11,41,kitchen utensils,22,33,53.66,66.67,59.46,4,4,0.048553,0,22,0,0,18,1,0
12,13,vehicles,11,28,84.62,39.29,53.66,5,5,0.041322,1,1,0,0,11,0,0
13,22,kitchen utensils,21,33,95.45,63.64,76.36,14,14,0.068477,0,21,0,0,0,1,0
14,32,vehicles,29,28,90.62,103.57,96.67,14,14,0.068477,1,2,0,0,29,0,0
15,1,kitchen utensils,1,33,100.0,3.03,5.88,1,1,0.0,0,1,0,0,0,0,0
16,21,kitchen utensils,20,33,95.24,60.61,74.07,1,1,0.0,0,20,0,0,0,1,0
17,4,tools,4,28,100.0,14.29,25.0,49,49,0.049952,0,0,0,4,0,0,0
18,7,vehicles,7,28,100.0,25.0,40.0,8,8,0.04907,0,0,0,0,7,0,0
19,45,tools,22,28,48.89,78.57,60.27,4,4,0.106749,0,2,3,22,0,17,1
20,2,tools,2,28,100.0,7.14,13.33,37,37,0.041285,0,0,0,2,0,0,0
21,42,tools,20,28,47.62,71.43,57.14,9,9,0.085093,0,2,2,20,0,17,1
22,38,tools,18,28,47.37,64.29,54.55,10,10,0.008402,0,2,0,18,0,17,1
23,23,weapons,17,18,73.91,94.44,82.93,2,2,0.005509,0,2,0,4,0,17,0
24,1,kitchen utensils,1,33,100.0,3.03,5.88,16,16,0.041667,0,1,0,0,0,0,0
