label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,birds,fish,insects,mammals,reptiles,unknown
2,45,insects,26,26,57.78,100.0,73.24,78,78,0.081197,19,0,26,0,0,0
3,37,reptiles,20,20,54.05,100.0,70.18,117,117,0.068946,11,0,0,6,20,0
4,22,fish,22,23,100.0,95.65,97.78,32,32,0.071528,0,22,0,0,0,0
5,17,birds,15,30,88.24,50.0,63.83,6,6,0.144444,15,0,2,0,0,0
6,23,insects,23,26,100.0,88.46,93.88,13,13,0.042735,0,0,23,0,0,0
7,32,mammals,28,30,87.5,93.33,90.32,6,6,0.237037,0,1,0,28,3,0
8,14,fish,14,23,100.0,60.87,75.68,38,38,0.067251,0,14,0,0,0,0
9,33,mammals,24,30,72.73,80.0,76.19,48,48,0.071759,0,9,0,24,0,0
10,1,mammals,1,30,100.0,3.33,6.45,2,2,0.177778,0,0,0,1,0,0
11,1,insects,1,26,100.0,3.85,7.41,1,1,0.111111,0,0,1,0,0,0
12,14,birds,13,30,92.86,43.33,59.09,23,23,0.113043,13,0,1,0,0,0
13,18,reptiles,16,20,88.89,80.0,84.21,1,1,0.622222,0,0,0,2,16,0
14,18,mammals,9,30,50.0,30.0,37.5,7,7,0.038095,0,9,0,9,0,0
