category,exemplar,typicality_rating,rowwise_similarity,bundles
birds,eagle,16.9259259259259,0.0,4
birds,dove,18.1428571428571,0.1518987341772152,5
birds,duck,12.7857142857142,0.0,6
birds,magpie,17.8928571428571,0.18181818181818182,5
birds,pheasant,13.7142857142857,0.125,5
birds,vulture,15.1428571428571,0.0,4
birds,rooster,11.0714285714285,0.16216216216216217,5
birds,turkey,11.6785714285714,0.1506849315068493,5
birds,canary,17.8928571428571,,
birds,chicken,11.5714285714285,,
birds,cuckoo,16.0,0.1791044776119403,5
birds,crow,18.1071428571428,0.15942028985507245,5
birds,chickadee,17.1071428571428,0.17142857142857143,5
birds,seagull,17.9642857142857,0.0,4
birds,blackbird,18.8214285714285,0.1791044776119403,5
birds,sparrow,19.1785714285714,0.16901408450704225,5
birds,stork,15.3928571428571,0.0,4
birds,parrot,15.8571428571428,0.12195121951219512,5
birds,parakeet,17.6428571428571,0.16216216216216217,5
birds,peacock,12.2857142857142,0.16129032258064516,5
birds,pelican,12.5714285714285,0.0,4
birds,penguin,8.64285714285714,0.016129032258064516,1
birds,heron,16.1071428571428,0.0,4
birds,robin,18.3214285714285,0.15942028985507245,5
birds,woodpecker,16.4285714285714,0.16666666666666666,5
birds,ostrich,11.2142857142857,0.0,4
birds,owl,16.0,0.1728395061728395,5
birds,falcon,15.5,0.0,4
birds,swan,12.8214285714285,0.0,6
birds,swallow,17.8571428571428,0.1891891891891892,5
fish,anchovy,13.1428571428571,0.05454545454545454,3
fish,dolphin,9.17857142857142,0.04285714285714286,3
fish,trout,17.8928571428571,0.0,4
fish,goldfish,18.8928571428571,0.0,1
fish,shark,13.2142857142857,0.0,4
fish,herring,17.0714285714285,0.0,4
fish,squid,10.6785714285714,0.06779661016949153,3
fish,cod,18.1071428571428,0.0,4
fish,carp,16.0,0.0,4
fish,orca,9.85714285714285,0.057971014492753624,3
fish,eel,15.6785714285714,0.06557377049180328,3
fish,piranha,15.3214285714285,0.06779661016949153,3
fish,plaice,15.9615384615384,0.07272727272727272,3
fish,flatfish,14.3214285714285,0.07017543859649122,3
fish,sperm whale,9.89285714285714,0.0,4
fish,ray,14.5,0.06666666666666667,3
fish,sardine,15.5357142857142,0.07142857142857142,3
fish,pike,16.2857142857142,0.06779661016949153,3
fish,stickleback,14.75,0.06779661016949153,3
fish,sole,15.1428571428571,0.05357142857142857,3
fish,whale,10.4285714285714,0.05555555555555555,3
fish,salmon,18.3928571428571,0.07017543859649122,3
fish,swordfish,14.6428571428571,0.0,4
insects,bee,17.0714285714285,0.0,4
insects,leech,11.3571428571428,0.0,4
insects,horsefly,15.92,0.017543859649122806,6
insects,centipede,13.7857142857142,0.0,4
insects,fruit fly,16.25,0.0,4
insects,bumblebee,15.8571428571428,0.0,4
insects,cockroach,16.9642857142857,0.01639344262295082,6
insects,beetle,16.25,0.0,4
insects,cricket,16.3214285714285,0.0,4
insects,dragonfly,16.3571428571428,0.0,4
insects,ladybug,15.3928571428571,0.0,4
insects,louse,13.3214285714285,0.01818181818181818,6
insects,cockchafer,15.0357142857142,,
insects,ant,17.0,0.017543859649122806,6
insects,moth,14.6785714285714,0.0,4
insects,mosquito,18.3928571428571,0.018867924528301886,6
insects,earwig,13.8928571428571,0.0,4
insects,wood louse,17.2857142857142,0.0,4
insects,caterpillar,14.1785714285714,0.018518518518518517,6
insects,spider,12.25,0.0,4
insects,grasshopper,16.6071428571428,0.017241379310344827,6
insects,fly,18.2142857142857,0.0,4
insects,butterfly,13.3928571428571,0.0,4
insects,flee,13.6071428571428,0.018867924528301886,6
insects,wasp,17.25,0.0,4
insects,worm,10.1785714285714,0.0,4
mammals,monkey,17.9285714285714,0.013888888888888888,1
mammals,beaver,14.0,0.028985507246376812,2
mammals,bison,15.1428571428571,0.04838709677419355,3
mammals,dromedary,14.4285714285714,0.03636363636363636,2
mammals,squirrel,14.5714285714285,0.0,4
mammals,hedgehog,13.1785714285714,0.0,4
mammals,donkey,16.8214285714285,0.0,4
mammals,giraffe,15.9642857142857,0.07547169811320754,2
mammals,hamster,14.5714285714285,0.0,4
mammals,deer,16.5357142857142,0.016129032258064516,1
mammals,dog,18.5357142857142,0.0,4
mammals,polar bear,15.1428571428571,0.029850746268656716,3
mammals,kangaroo,14.75,0.017857142857142856,1
mammals,cat,18.5357142857142,0.0,4
mammals,cow,17.6071428571428,0.015873015873015872,1
mammals,rabbit,16.6428571428571,0.0,4
mammals,llama,14.6428571428571,0.019230769230769232,1
mammals,lion,17.6785714285714,0.04411764705882353,3
mammals,mouse,15.6785714285714,0.0,4
mammals,rhinoceros,15.1428571428571,0.07407407407407407,3
mammals,hippopotamus,14.6071428571428,0.06451612903225806,3
mammals,elephant,16.25,0.06060606060606061,3
mammals,horse,17.5357142857142,0.012987012987012988,1
mammals,sheep,17.4285714285714,0.0,4
mammals,tiger,17.0714285714285,0.0410958904109589,3
mammals,pig,17.1785714285714,0.0,4
mammals,bat,10.8571428571428,0.0,4
mammals,fox,16.25,0.014705882352941176,1
mammals,wolf,17.0357142857142,0.013513513513513514,1
mammals,zebra,16.0357142857142,0.017241379310344827,1
reptiles,viper,13.5555555555555,,
reptiles,alligator,16.4285714285714,0.0,4
reptiles,boa,13.8571428571428,0.05194805194805195,3
reptiles,cobra,13.9285714285714,0.05,3
reptiles,dinosaur,11.9642857142857,0.06451612903225806,3
reptiles,gecko,14.44,0.07042253521126761,2
reptiles,lizard,17.6785714285714,0.07407407407407407,2
reptiles,blindworm,5.13636363636363,0.08196721311475409,2
reptiles,caiman,13.76,0.0,4
reptiles,chameleon,16.6428571428571,0.07792207792207792,2
reptiles,frog,11.4074074074074,0.06493506493506493,2
reptiles,crocodile,17.4642857142857,0.0,4
reptiles,iguana,17.0357142857142,0.05333333333333334,3
reptiles,toad,11.1071428571428,0.0684931506849315,2
reptiles,python,13.9642857142857,0.05333333333333334,3
reptiles,salamander,13.9285714285714,0.05,3
reptiles,tortoise,15.1785714285714,0.09090909090909091,2
reptiles,snake,15.9285714285714,0.043010752688172046,3
reptiles,monitor lizard,14.4230769230769,0.056338028169014086,3
reptiles,turtle,13.3214285714285,0.06349206349206349,3
