label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,clothing,kitchen utensils,musical instruments,tools,vehicles,weapons,unknown
2,12,vehicles,11,28,91.67,39.29,55.0,35,35,0.061275,0,0,0,0,11,1,0
3,9,vehicles,7,28,77.78,25.0,37.84,35,35,0.061275,0,0,0,0,7,0,2
4,14,weapons,6,18,42.86,33.33,37.5,34,34,0.062996,0,0,0,6,1,6,1
5,14,vehicles,7,28,50.0,25.0,33.33,34,34,0.062996,0,0,0,0,7,7,0
6,15,tools,8,28,53.33,28.57,37.21,1,1,0.00551,0,2,0,8,1,4,0
7,58,clothing,29,29,50.0,100.0,66.67,41,41,0.052913,29,2,26,0,0,0,1
8,1,kitchen utensils,1,33,100.0,3.03,5.88,41,41,0.052913,0,1,0,0,0,0,0
9,30,kitchen utensils,27,33,90.0,81.82,85.71,41,41,0.052913,0,27,0,2,0,0,1
10,28,tools,19,28,67.86,67.86,67.86,41,41,0.052913,0,3,0,19,2,4,0
11,33,tools,19,28,57.58,67.86,62.3,2,2,0.004821,0,7,0,19,2,4,1
12,13,weapons,6,18,46.15,33.33,38.71,3,3,0.011478,0,0,0,5,1,6,1
13,23,musical instruments,16,26,69.57,61.54,65.31,1,1,0.004132,5,1,16,0,0,0,1
14,49,clothing,29,29,59.18,100.0,74.36,3,3,0.011478,29,2,17,0,0,0,1
15,9,musical instruments,9,26,100.0,34.62,51.43,1,1,0.002755,0,0,9,0,0,0,0
16,30,musical instruments,25,26,83.33,96.15,89.29,1,1,0.006887,2,2,25,0,0,0,1
17,9,tools,5,28,55.56,17.86,27.03,3,3,0.011478,0,0,0,5,2,2,0
18,20,kitchen utensils,18,33,90.0,54.55,67.92,1,1,0.232782,0,18,0,2,0,0,0
19,7,kitchen utensils,5,33,71.43,15.15,25.0,1,1,0.001377,0,5,0,2,0,0,0
20,17,tools,13,28,76.47,46.43,57.78,3,3,0.011478,0,2,0,13,0,2,0
21,16,clothing,16,29,100.0,55.17,71.11,2,2,0.004132,16,0,0,0,0,0,0
22,6,clothing,6,29,100.0,20.69,34.29,1,1,0.011019,6,0,0,0,0,0,0
23,1,weapons,1,18,100.0,5.56,10.53,1,1,0.073003,0,0,0,0,0,1,0
24,11,kitchen utensils,9,33,81.82,27.27,40.91,1,1,0.006887,0,9,0,2,0,0,0
25,25,musical instruments,22,26,88.0,84.62,86.27,1,1,0.0,2,1,22,0,0,0,0
26,11,kitchen utensils,11,33,100.0,33.33,50.0,3,3,0.002755,0,11,0,0,0,0,0
27,7,kitchen utensils,7,33,100.0,21.21,35.0,3,3,0.002755,0,7,0,0,0,0,0
28,1,vehicles,1,28,100.0,3.57,6.9,1,1,0.0,0,0,0,0,1,0,0
29,9,kitchen utensils,7,33,77.78,21.21,33.33,1,1,0.013774,0,7,2,0,0,0,0
30,2,vehicles,1,28,50.0,3.57,6.67,1,1,0.006887,0,0,0,1,1,0,0
31,1,vehicles,1,28,100.0,3.57,6.9,2,2,0.01033,0,0,0,0,1,0,0
32,1,clothing,1,29,100.0,3.45,6.67,1,1,0.013774,1,0,0,0,0,0,0
33,14,clothing,14,29,100.0,48.28,65.12,3,3,0.001836,14,0,0,0,0,0,0
34,11,clothing,11,29,100.0,37.93,55.0,3,3,0.001836,11,0,0,0,0,0,0
35,5,clothing,5,29,100.0,17.24,29.41,1,1,0.030303,5,0,0,0,0,0,0
36,1,clothing,1,29,100.0,3.45,6.67,3,3,0.02112,1,0,0,0,0,0,0
37,21,musical instruments,16,26,76.19,61.54,68.09,3,3,0.02112,3,1,16,0,0,0,1
38,4,kitchen utensils,4,33,100.0,12.12,21.62,1,1,0.11157,0,4,0,0,0,0,0
39,14,kitchen utensils,12,33,85.71,36.36,51.06,1,1,0.11157,0,12,0,2,0,0,0
40,18,clothing,18,29,100.0,62.07,76.6,1,1,0.00551,18,0,0,0,0,0,0
41,10,clothing,10,29,100.0,34.48,51.28,1,1,0.0,10,0,0,0,0,0,0
42,2,musical instruments,2,26,100.0,7.69,14.29,1,1,0.001377,0,0,2,0,0,0,0
43,7,musical instruments,6,26,85.71,23.08,36.36,1,1,0.0,1,0,6,0,0,0,0
44,9,musical instruments,7,26,77.78,26.92,40.0,1,1,0.0,1,1,7,0,0,0,0
45,1,kitchen utensils,1,33,100.0,3.03,5.88,1,1,0.0,0,1,0,0,0,0,0
46,4,clothing,4,29,100.0,13.79,24.24,1,1,0.015152,4,0,0,0,0,0,0
47,12,clothing,12,29,100.0,41.38,58.54,1,1,0.015152,12,0,0,0,0,0,0
48,1,clothing,1,29,100.0,3.45,6.67,1,1,0.006887,1,0,0,0,0,0,0
49,20,musical instruments,16,26,80.0,61.54,69.57,1,1,0.006887,2,1,16,0,0,0,1
50,25,clothing,25,29,100.0,86.21,92.59,1,1,0.205234,25,0,0,0,0,0,0
51,20,musical instruments,15,26,75.0,57.69,65.22,1,1,0.205234,3,1,15,0,0,0,1
52,13,musical instruments,12,26,92.31,46.15,61.54,2,2,0.108127,1,0,12,0,0,0,0
53,10,musical instruments,8,26,80.0,30.77,44.44,2,2,0.108127,1,1,8,0,0,0,0
54,11,kitchen utensils,5,33,45.45,15.15,22.73,1,1,0.027548,0,5,0,5,0,0,1
55,5,tools,5,28,100.0,17.86,30.3,2,2,0.015152,0,0,0,5,0,0,0
56,2,kitchen utensils,2,33,100.0,6.06,11.43,3,3,0.002755,0,2,0,0,0,0,0
57,1,kitchen utensils,1,33,100.0,3.03,5.88,1,1,0.11157,0,1,0,0,0,0,0
58,3,kitchen utensils,2,33,66.67,6.06,11.11,2,2,0.0,0,2,0,0,0,0,1
59,9,tools,6,28,66.67,21.43,32.43,1,1,0.015152,0,1,0,6,0,2,0
60,1,musical instruments,1,26,100.0,3.85,7.41,1,1,0.026171,0,0,1,0,0,0,0
61,8,musical instruments,5,26,62.5,19.23,29.41,1,1,0.011019,1,1,5,0,0,0,1
62,1,clothing,1,29,100.0,3.45,6.67,4,4,0.041322,1,0,0,0,0,0,0
63,21,clothing,21,29,100.0,72.41,84.0,4,4,0.041322,21,0,0,0,0,0,0
