category,correlation,p_value,n_samples,significance
tools,0.143282,0.466994,28,not significant
vehicles,0.093714,0.622319,30,not significant
clothing,0.121092,0.531495,29,not significant
kitchen utensils,0.20539,0.251523,33,not significant
musical instruments,0.137897,0.492767,27,not significant
weapons,0.710694,0.000947,18,highly significant
