features,freq,normalized_freq
comes in different weights,1.0,0.0
comes in different materials,11.0,0.294118
comes in different styles,2.0,0.029412
comes in different fabrics,6.0,0.147059
is festive,2.0,0.029412
is abloom,2.0,0.029412
can be recycled,2.0,0.029412
is the same for men and women,1.0,0.0
custom-made,2.0,0.029412
comes into fashion / goes out of fashion,9.0,0.235294
is hard to play,3.0,0.058824
is natural,1.0,0.0
is subject to rules,4.0,0.088235
is unhealthy,1.0,0.0
is indispensable,9.0,0.235294
is popular in the United States,2.0,0.029412
is practical,1.0,0.0
is season-tied,3.0,0.058824
is fast,4.0,0.088235
is slow,1.0,0.0
is different for men and women,5.0,0.117647
is replaceable,1.0,0.0
can be used to get from one place to the other,17.0,0.470588
can move,2.0,0.029412
can be dangerous,14.0,0.382353
you can earn money with it,1.0,0.0
can be used to eat with,3.0,0.058824
can be shot with,2.0,0.029412
can be used to cut things,3.0,0.058824
has room for several people,2.0,0.029412
can be used to make music with,1.0,0.0
can cause accidents,8.0,0.205882
can also be used out of the kitchen,1.0,0.0
can rip,2.0,0.029412
can stand heat,3.0,0.058824
can wear off,3.0,0.058824
sounds beautiful,3.0,0.058824
is bought in a specialist shop,3.0,0.058824
hard to come by when you need it,1.0,0.0
you need a weapon license for it,6.0,0.147059
needs good care,2.0,0.029412
you have to learn how to use it,1.0,0.0
has to be ironed,1.0,0.0
is not permitted on planes,1.0,0.0
you have to be intelligent to play it,1.0,0.0
you have to have talent to play it,1.0,0.0
in order to use it you have to be intelligent,1.0,0.0
is often given as a presen on Father's Day,1.0,0.0
makes work easier,9.0,0.235294
makes work in the kitchen easier,3.0,0.058824
is a faster form of transport than going by foot,8.0,0.205882
differs from one culture to the other,7.0,0.176471
is found in a cupboard,2.0,0.029412
is found in a clothing cupboard,4.0,0.088235
is found in a drawer,1.0,0.0
is found on a stage,1.0,0.0
is often found in action movies,2.0,0.029412
feels cold to the skin,3.0,0.058824
works based on a lever,1.0,0.0
people make scale models of it,1.0,0.0
is only used by humans,7.0,0.176471
is operated,8.0,0.205882
is worn by everyone,3.0,0.058824
is used by a professional,2.0,0.029412
is used in the opera,1.0,0.0
is used in orchestras,9.0,0.235294
is used to make something with,6.0,0.147059
is used to work with,6.0,0.147059
is used to communicate,1.0,0.0
is shared,1.0,0.0
is made be designers,1.0,0.0
is made in a weapon factory,1.0,0.0
is sewn,2.0,0.029412
is shown on the catwalk,1.0,0.0
is operated by a computer,1.0,0.0
is made under bad circumstances,1.0,0.0
is driven by meachanical means,2.0,0.029412
is made by hand,2.0,0.029412
is also used by monkeys,1.0,0.0
is also used by animals,1.0,0.0
is used all over the world,3.0,0.058824
easily gets dirty,2.0,0.029412
is sometimes given to newly-weds as a present,3.0,0.058824
is sometimes given as a present for christmas,1.0,0.0
is used a lot,3.0,0.058824
is primarily used by men,10.0,0.264706
provides entertainment,7.0,0.176471
can be used inside and outside the house,1.0,0.0
