label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,birds,fish,insects,mammals,reptiles,unknown
2,19,birds,17,30,89.47,56.67,69.39,16,16,0.06019,17,0,0,0,0,2
3,23,insects,16,26,69.57,61.54,65.31,16,16,0.06019,5,0,16,1,0,1
4,35,mammals,19,30,54.29,63.33,58.46,39,39,0.052704,6,1,9,19,0,0
5,52,fish,22,23,42.31,95.65,58.67,39,39,0.052704,0,22,0,10,19,1
6,1,birds,1,30,100.0,3.33,6.45,1,1,0.016427,1,0,0,0,0,0
7,8,birds,7,30,87.5,23.33,36.84,3,3,0.043806,7,0,0,0,0,1
8,9,insects,6,26,66.67,23.08,34.29,1,1,0.0,2,0,6,0,0,1
9,9,insects,4,26,44.44,15.38,22.86,1,1,0.002053,3,0,4,2,0,0
10,11,mammals,5,30,45.45,16.67,24.39,1,1,0.002053,2,0,4,5,0,0
11,32,fish,15,23,46.88,65.22,54.55,4,4,0.047741,0,15,0,7,9,1
12,10,fish,7,23,70.0,30.43,42.42,4,4,0.047741,0,7,0,0,3,0
13,3,reptiles,3,20,100.0,15.0,26.09,2,2,0.055441,0,0,0,0,3,0
14,11,mammals,7,30,63.64,23.33,34.15,1,1,0.004107,2,0,2,7,0,0
15,11,mammals,5,30,45.45,16.67,24.39,5,5,0.058316,0,0,0,5,5,1
16,7,reptiles,4,20,57.14,20.0,29.63,25,25,0.059302,0,2,0,1,4,0
