exemplar,category,typicality_rating,rank,rowwise_similarity,bundles
apron,kitchen utensils,14.3571428571428,25,0.65625,2
spatula,kitchen utensils,14.8571428571428,22,0.6875,1
mug,kitchen utensils,14.1428571428571,27,0.47368421052631576,1
teaspoon,kitchen utensils,14.6428571428571,24,0.696969696969697,1
colander,kitchen utensils,16.4285714285714,12,0.6764705882352942,1
fork,kitchen utensils,16.3571428571428,13,0.5897435897435898,1
electric kettle,kitchen utensils,16.3571428571428,14,0.42105263157894735,1
scales,kitchen utensils,12.3928571428571,29,0.5454545454545454,1
wok,kitchen utensils,17.1071428571428,6,0.6388888888888888,1
sieve,kitchen utensils,15.1785714285714,21,0.7666666666666667,1
accordion,musical instruments,15.8928571428571,17,0.5609756097560976,3
banjo,musical instruments,14.8571428571428,22,0.696969696969697,3
bass guitar,musical instruments,17.5,9,0.631578947368421,3
cello,musical instruments,17.2857142857142,10,1.0,3
cymbals,musical instruments,14.3214285714285,26,0.4634146341463415,1
double bass,musical instruments,16.9285714285714,12,0.9375,3
bagpipe,musical instruments,15.1428571428571,21,0.7142857142857143,3
drum set,musical instruments,17.6785714285714,8,0.5348837209302325,3
flute,musical instruments,18.0,6,0.6944444444444444,3
bassoon,musical instruments,15.4444444444444,20,0.7368421052631579,3
flute,musical instruments,17.8571428571428,7,0.6944444444444444,3
guitar,musical instruments,19.25,2,0.6046511627906976,3
harp,musical instruments,16.0,15,0.7575757575757576,3
clarinet,musical instruments,17.25,11,0.6842105263157895,3
harpsichord,musical instruments,14.4230769230769,24,0.8,3
harmonica,musical instruments,15.7142857142857,18,0.5609756097560976,3
organ,musical instruments,16.1785714285714,14,0.6666666666666666,3
pan flute,musical instruments,14.25,27,0.6764705882352942,3
piano,musical instruments,19.4285714285714,1,0.7142857142857143,3
saxophone,musical instruments,18.4642857142857,4,0.575,3
synthesizer,musical instruments,15.6785714285714,19,0.5555555555555556,3
tambourine,musical instruments,14.3333333333333,25,0.5,3
triangle,musical instruments,14.5357142857142,23,0.425,1
trombone,musical instruments,15.9259259259259,16,0.625,3
drum,musical instruments,16.6071428571428,13,0.55,3
trumpet,musical instruments,18.4444444444444,5,0.5454545454545454,3
violin,musical instruments,18.8571428571428,3,0.84375,3
bazooka,weapons,18.5,4,0.7659574468085106,5
knuckle dusters,weapons,11.1071428571428,15,0.43243243243243246,1
bow,weapons,11.3571428571428,14,0.5833333333333334,5
dagger,weapons,17.2142857142857,6,0.7916666666666666,5
rifle,weapons,19.3928571428571,2,0.9534883720930233,5
grenade,weapons,17.3214285714285,5,0.6444444444444445,5
canon,weapons,16.9642857142857,8,0.717391304347826,5
slingshot,weapons,11.5714285714285,13,0.54,5
club,weapons,14.3928571428571,10,0.6595744680851063,5
machine gun,weapons,18.8571428571428,3,0.9090909090909091,5
pistol,weapons,19.4285714285714,1,0.9069767441860465,5
shield,weapons,7.10714285714285,18,0.5526315789473685,1
spear,weapons,13.8928571428571,11,0.6666666666666666,5
stick,weapons,9.0,17,0.5777777777777777,5
tank,weapons,13.1428571428571,12,0.5818181818181818,5
double barrelled shotgun,weapons,16.5714285714285,9,1.0,5
sword,weapons,17.0714285714285,7,0.7291666666666666,5
whip,weapons,9.85714285714285,16,0.6304347826086957,5
