category,correlation,p_value,n_samples,significance
birds,0.35536,0.053965,30,not significant
fish,0.673744,0.000424,23,highly significant
insects,0.153767,0.453269,26,not significant
mammals,0.029799,0.875784,30,not significant
reptiles,0.071298,0.765165,20,not significant
