label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,clothing,kitchen utensils,musical instruments,tools,vehicles,weapons,unknown
2,24,vehicles,20,28,83.33,71.43,76.92,77,77,0.124905,0,2,0,0,20,0,2
3,8,vehicles,7,28,87.5,25.0,38.89,26,26,0.106335,0,1,0,0,7,0,0
4,57,clothing,29,29,50.88,100.0,67.44,26,26,0.106335,29,1,26,0,0,0,1
5,26,clothing,26,29,100.0,89.66,94.55,36,36,0.076797,26,0,0,0,0,0,0
6,30,kitchen utensils,22,33,73.33,66.67,69.84,29,29,0.12069,0,22,0,4,1,3,0
7,3,musical instruments,2,26,66.67,7.69,13.79,1,1,0.029412,0,1,2,0,0,0,0
8,54,clothing,29,29,53.7,100.0,69.88,1,1,0.029412,29,0,24,0,0,0,1
9,1,clothing,1,29,100.0,3.45,6.67,36,36,0.076797,1,0,0,0,0,0,0
10,1,tools,1,28,100.0,3.57,6.9,38,38,0.085139,0,0,0,1,0,0,0
11,41,tools,20,28,48.78,71.43,57.97,29,29,0.12069,0,7,0,20,0,14,0
12,6,vehicles,5,28,83.33,17.86,29.41,26,26,0.135747,0,0,0,0,5,0,1
13,27,musical instruments,24,26,88.89,92.31,90.57,39,39,0.05279,2,0,24,0,0,0,1
14,17,tools,8,28,47.06,28.57,35.56,3,3,0.205882,0,1,0,8,0,7,1
15,17,tools,14,28,82.35,50.0,62.22,3,3,0.029412,0,1,0,14,0,2,0
16,5,weapons,3,18,60.0,16.67,26.09,3,3,0.205882,0,1,0,1,0,3,0
17,6,tools,4,28,66.67,14.29,23.53,12,12,0.117647,0,0,0,4,0,1,1
18,4,tools,3,28,75.0,10.71,18.75,1,1,0.0,0,0,0,3,0,0,1
19,46,tools,21,28,45.65,75.0,56.76,1,1,0.0,0,10,0,21,0,15,0
20,12,vehicles,10,28,83.33,35.71,50.0,21,21,0.134454,0,1,0,0,10,0,1
21,13,tools,8,28,61.54,28.57,39.02,24,24,0.144608,0,1,0,8,0,3,1
22,2,kitchen utensils,2,33,100.0,6.06,11.43,38,38,0.140867,0,2,0,0,0,0,0
23,1,tools,1,28,100.0,3.57,6.9,3,3,0.029412,0,0,0,1,0,0,0
24,2,kitchen utensils,1,33,50.0,3.03,5.71,2,2,0.191176,0,1,0,1,0,0,0
25,33,tools,16,28,48.48,57.14,52.46,13,13,0.183258,0,6,0,16,0,11,0
26,2,kitchen utensils,2,33,100.0,6.06,11.43,16,16,0.117647,0,2,0,0,0,0,0
27,14,kitchen utensils,10,33,71.43,30.3,42.55,4,4,0.161765,0,10,0,3,0,1,0
28,13,vehicles,10,28,76.92,35.71,48.78,2,2,0.294118,0,1,0,0,10,0,2
29,1,clothing,1,29,100.0,3.45,6.67,1,1,0.0,1,0,0,0,0,0,0
30,2,musical instruments,2,26,100.0,7.69,14.29,1,1,0.294118,0,0,2,0,0,0,0
31,10,musical instruments,8,26,80.0,30.77,44.44,1,1,0.029412,2,0,8,0,0,0,0
32,11,tools,6,28,54.55,21.43,30.77,8,8,0.047794,0,1,0,6,0,3,1
33,5,weapons,4,18,80.0,22.22,34.78,1,1,0.029412,0,1,0,0,0,4,0
34,33,tools,16,28,48.48,57.14,52.46,1,1,0.294118,0,9,0,16,0,8,0
35,15,musical instruments,14,26,93.33,53.85,68.29,1,1,0.352941,0,0,14,0,0,0,1
36,1,musical instruments,1,26,100.0,3.85,7.41,1,1,0.352941,0,0,1,0,0,0,0
37,8,clothing,8,29,100.0,27.59,43.24,1,1,0.294118,8,0,0,0,0,0,0
38,1,weapons,1,18,100.0,5.56,10.53,1,1,0.176471,0,0,0,0,0,1,0
39,2,clothing,2,29,100.0,6.9,12.9,3,3,0.019608,2,0,0,0,0,0,0
40,16,clothing,16,29,100.0,55.17,71.11,1,1,0.0,16,0,0,0,0,0,0
41,2,kitchen utensils,1,33,50.0,3.03,5.71,1,1,0.029412,0,1,0,1,0,0,0
