category,correlation,p_value,n_samples,significance
birds,0.313027,0.10482,28,not significant
fish,-0.292757,0.175213,23,not significant
insects,-0.070234,0.738678,25,not significant
mammals,0.198898,0.292024,30,not significant
reptiles,-0.73597,0.000328,19,highly significant
