run_id,created_utc,labels_file,n_labels,mean_purity_percent,weighted_purity_percent,distinct_category_match_count,distinct_category_match_accuracy_percent,params,best_distinct_mapping,overall_jaccard
4,2026-03-14T12:54:52.929009+00:00,output/experiments/bmf/animals/exemplar/importance/4/label_membership_cells.csv,13,83.53,67.13,88,68.22,"{""isColumnSplit"": ""true"", ""max_col"": ""18"", ""max_row"": ""22"", ""prah"": ""0.55""}","[{""category"": ""birds"", ""label"": 11, ""matched_count"": 21, ""purity_percent"": 91.3, ""avg_feature_freq_weight"": 0.086242, ""recall_percent"": 70.0, ""f1_percent"": 79.24}, {""category"": ""fish"", ""label"": 7, ""matched_count"": 3, ""purity_percent"": 79.31, ""avg_feature_freq_weight"": 0.296714, ""recall_percent"": 13.04, ""f1_percent"": 22.4}, {""category"": ""insects"", ""label"": 2, ""matched_count"": 25, ""purity_percent"": 35.71, ""avg_feature_freq_weight"": 0.061071, ""recall_percent"": 96.15, ""f1_percent"": 52.08}, {""category"": ""mammals"", ""label"": 4, ""matched_count"": 28, ""purity_percent"": 90.32, ""avg_feature_freq_weight"": 0.094353, ""recall_percent"": 93.33, ""f1_percent"": 91.8}, {""category"": ""reptiles"", ""label"": 8, ""matched_count"": 11, ""purity_percent"": 78.57, ""avg_feature_freq_weight"": 0.065435, ""recall_percent"": 55.0, ""f1_percent"": 64.71}]",0.312896
5,2026-03-14T12:54:54.058788+00:00,output/experiments/bmf/animals/exemplar/importance/5/label_membership_cells.csv,13,83.53,67.13,88,68.22,"{""isColumnSplit"": ""true"", ""max_col"": ""18"", ""max_row"": ""22"", ""prah"": ""0.58""}","[{""category"": ""birds"", ""label"": 11, ""matched_count"": 21, ""purity_percent"": 91.3, ""avg_feature_freq_weight"": 0.086242, ""recall_percent"": 70.0, ""f1_percent"": 79.24}, {""category"": ""fish"", ""label"": 7, ""matched_count"": 3, ""purity_percent"": 79.31, ""avg_feature_freq_weight"": 0.296714, ""recall_percent"": 13.04, ""f1_percent"": 22.4}, {""category"": ""insects"", ""label"": 2, ""matched_count"": 25, ""purity_percent"": 35.71, ""avg_feature_freq_weight"": 0.061071, ""recall_percent"": 96.15, ""f1_percent"": 52.08}, {""category"": ""mammals"", ""label"": 4, ""matched_count"": 28, ""purity_percent"": 90.32, ""avg_feature_freq_weight"": 0.139887, ""recall_percent"": 93.33, ""f1_percent"": 91.8}, {""category"": ""reptiles"", ""label"": 8, ""matched_count"": 11, ""purity_percent"": 78.57, ""avg_feature_freq_weight"": 0.065435, ""recall_percent"": 55.0, ""f1_percent"": 64.71}]",0.307427
7,2026-03-14T12:54:55.897851+00:00,output/experiments/bmf/animals/exemplar/importance/7/label_membership_cells.csv,15,82.13,67.8,93,72.09,"{""isColumnSplit"": ""true"", ""max_col"": ""16"", ""max_row"": ""20"", ""prah"": ""0.55""}","[{""category"": ""birds"", ""label"": 13, ""matched_count"": 21, ""purity_percent"": 91.3, ""avg_feature_freq_weight"": 0.086242, ""recall_percent"": 70.0, ""f1_percent"": 79.24}, {""category"": ""fish"", ""label"": 9, ""matched_count"": 3, ""purity_percent"": 79.31, ""avg_feature_freq_weight"": 0.296714, ""recall_percent"": 13.04, ""f1_percent"": 22.4}, {""category"": ""insects"", ""label"": 2, ""matched_count"": 25, ""purity_percent"": 35.71, ""avg_feature_freq_weight"": 0.061071, ""recall_percent"": 96.15, ""f1_percent"": 52.08}, {""category"": ""mammals"", ""label"": 4, ""matched_count"": 28, ""purity_percent"": 90.32, ""avg_feature_freq_weight"": 0.094353, ""recall_percent"": 93.33, ""f1_percent"": 91.8}, {""category"": ""reptiles"", ""label"": 5, ""matched_count"": 16, ""purity_percent"": 72.73, ""avg_feature_freq_weight"": 0.112936, ""recall_percent"": 80.0, ""f1_percent"": 76.19}]",0.289760
3,2026-03-14T12:54:52.047236+00:00,output/experiments/bmf/animals/exemplar/importance/3/label_membership_cells.csv,14,83.71,68.97,93,72.09,"{""isColumnSplit"": ""true"", ""max_col"": ""15"", ""max_row"": ""20"", ""prah"": ""0.60""}","[{""category"": ""birds"", ""label"": 11, ""matched_count"": 21, ""purity_percent"": 91.3, ""avg_feature_freq_weight"": 0.086242, ""recall_percent"": 70.0, ""f1_percent"": 79.24}, {""category"": ""fish"", ""label"": 8, ""matched_count"": 3, ""purity_percent"": 79.31, ""avg_feature_freq_weight"": 0.296714, ""recall_percent"": 13.04, ""f1_percent"": 22.4}, {""category"": ""insects"", ""label"": 2, ""matched_count"": 25, ""purity_percent"": 35.71, ""avg_feature_freq_weight"": 0.061071, ""recall_percent"": 96.15, ""f1_percent"": 52.08}, {""category"": ""mammals"", ""label"": 5, ""matched_count"": 28, ""purity_percent"": 90.32, ""avg_feature_freq_weight"": 0.139887, ""recall_percent"": 93.33, ""f1_percent"": 91.8}, {""category"": ""reptiles"", ""label"": 4, ""matched_count"": 16, ""purity_percent"": 72.73, ""avg_feature_freq_weight"": 0.112936, ""recall_percent"": 80.0, ""f1_percent"": 76.19}]",0.283687
1,2026-03-14T12:54:49.915494+00:00,output/experiments/bmf/animals/exemplar/importance/1/label_membership_cells.csv,25,86.6,80.5,66,51.16,"{""isColumnSplit"": ""false"", ""max_col"": ""15"", ""max_row"": ""15"", ""prah"": ""0.60""}","[{""category"": ""birds"", ""label"": 14, ""matched_count"": 11, ""purity_percent"": 50.0, ""avg_feature_freq_weight"": 0.162218, ""recall_percent"": 36.67, ""f1_percent"": 42.31}, {""category"": ""fish"", ""label"": 2, ""matched_count"": 17, ""purity_percent"": 94.44, ""avg_feature_freq_weight"": 0.057888, ""recall_percent"": 73.91, ""f1_percent"": 82.92}, {""category"": ""insects"", ""label"": 22, ""matched_count"": 12, ""purity_percent"": 85.71, ""avg_feature_freq_weight"": 0.143737, ""recall_percent"": 46.15, ""f1_percent"": 60.0}, {""category"": ""mammals"", ""label"": 19, ""matched_count"": 10, ""purity_percent"": 58.82, ""avg_feature_freq_weight"": 0.080082, ""recall_percent"": 33.33, ""f1_percent"": 42.55}, {""category"": ""reptiles"", ""label"": 4, ""matched_count"": 16, ""purity_percent"": 76.19, ""avg_feature_freq_weight"": 0.067563, ""recall_percent"": 80.0, ""f1_percent"": 78.05}]",0.210406
8,2026-03-14T12:54:56.791184+00:00,output/experiments/bmf/animals/exemplar/importance/8/label_membership_cells.csv,19,82.42,74.41,62,48.06,"{""isColumnSplit"": ""false"", ""max_col"": ""16"", ""max_row"": ""20"", ""prah"": ""0.55""}","[{""category"": ""birds"", ""label"": 11, ""matched_count"": 11, ""purity_percent"": 50.0, ""avg_feature_freq_weight"": 0.162218, ""recall_percent"": 36.67, ""f1_percent"": 42.31}, {""category"": ""fish"", ""label"": 2, ""matched_count"": 17, ""purity_percent"": 94.44, ""avg_feature_freq_weight"": 0.057888, ""recall_percent"": 73.91, ""f1_percent"": 82.92}, {""category"": ""insects"", ""label"": 3, ""matched_count"": 23, ""purity_percent"": 79.31, ""avg_feature_freq_weight"": 0.057888, ""recall_percent"": 88.46, ""f1_percent"": 83.64}, {""category"": ""mammals"", ""label"": 16, ""matched_count"": 10, ""purity_percent"": 58.82, ""avg_feature_freq_weight"": 0.080082, ""recall_percent"": 33.33, ""f1_percent"": 42.55}, {""category"": ""reptiles"", ""label"": 10, ""matched_count"": 1, ""purity_percent"": 100.0, ""avg_feature_freq_weight"": 0.074655, ""recall_percent"": 5.0, ""f1_percent"": 9.52}]",0.168677
9,2026-03-14T12:54:57.683559+00:00,output/experiments/bmf/animals/exemplar/importance/9/label_membership_cells.csv,17,80.25,67.69,105,81.4,"{""isColumnSplit"": ""true"", ""max_col"": ""16"", ""max_row"": ""20"", ""prah"": ""0.52""}","[{""category"": ""birds"", ""label"": 14, ""matched_count"": 21, ""purity_percent"": 91.3, ""avg_feature_freq_weight"": 0.086242, ""recall_percent"": 70.0, ""f1_percent"": 79.24}, {""category"": ""fish"", ""label"": 5, ""matched_count"": 17, ""purity_percent"": 94.44, ""avg_feature_freq_weight"": 0.061818, ""recall_percent"": 73.91, ""f1_percent"": 82.92}, {""category"": ""insects"", ""label"": 10, ""matched_count"": 23, ""purity_percent"": 79.31, ""avg_feature_freq_weight"": 0.296714, ""recall_percent"": 88.46, ""f1_percent"": 83.64}, {""category"": ""mammals"", ""label"": 4, ""matched_count"": 28, ""purity_percent"": 90.32, ""avg_feature_freq_weight"": 0.094353, ""recall_percent"": 93.33, ""f1_percent"": 91.8}, {""category"": ""reptiles"", ""label"": 6, ""matched_count"": 16, ""purity_percent"": 72.73, ""avg_feature_freq_weight"": 0.112936, ""recall_percent"": 80.0, ""f1_percent"": 76.19}]",0.058191
2,2026-03-14T12:54:51.160028+00:00,output/experiments/bmf/animals/exemplar/importance/2/label_membership_cells.csv,20,87.18,72.85,98,75.97,"{""isColumnSplit"": ""true"", ""max_col"": ""15"", ""max_row"": ""15"", ""prah"": ""0.60""}","[{""category"": ""birds"", ""label"": 15, ""matched_count"": 21, ""purity_percent"": 91.3, ""avg_feature_freq_weight"": 0.086242, ""recall_percent"": 70.0, ""f1_percent"": 79.24}, {""category"": ""fish"", ""label"": 10, ""matched_count"": 10, ""purity_percent"": 100.0, ""avg_feature_freq_weight"": 0.032854, ""recall_percent"": 43.48, ""f1_percent"": 60.61}, {""category"": ""insects"", ""label"": 11, ""matched_count"": 23, ""purity_percent"": 79.31, ""avg_feature_freq_weight"": 0.296714, ""recall_percent"": 88.46, ""f1_percent"": 83.64}, {""category"": ""mammals"", ""label"": 5, ""matched_count"": 28, ""purity_percent"": 90.32, ""avg_feature_freq_weight"": 0.139887, ""recall_percent"": 93.33, ""f1_percent"": 91.8}, {""category"": ""reptiles"", ""label"": 4, ""matched_count"": 16, ""purity_percent"": 72.73, ""avg_feature_freq_weight"": 0.112936, ""recall_percent"": 80.0, ""f1_percent"": 76.19}]",0.031152
6,2026-03-14T12:54:55.006288+00:00,output/experiments/bmf/animals/exemplar/importance/6/label_membership_cells.csv,37,90.06,76.56,65,50.39,"{""isColumnSplit"": ""true"", ""max_col"": ""10"", ""max_row"": ""10"", ""prah"": ""0.60""}","[{""category"": ""birds"", ""label"": 33, ""matched_count"": 13, ""purity_percent"": 92.86, ""avg_feature_freq_weight"": 0.112936, ""recall_percent"": 43.33, ""f1_percent"": 59.09}, {""category"": ""fish"", ""label"": 25, ""matched_count"": 7, ""purity_percent"": 100.0, ""avg_feature_freq_weight"": 0.104979, ""recall_percent"": 30.43, ""f1_percent"": 46.66}, {""category"": ""insects"", ""label"": 16, ""matched_count"": 23, ""purity_percent"": 79.31, ""avg_feature_freq_weight"": 0.296714, ""recall_percent"": 88.46, ""f1_percent"": 83.64}, {""category"": ""mammals"", ""label"": 8, ""matched_count"": 6, ""purity_percent"": 100.0, ""avg_feature_freq_weight"": 0.162218, ""recall_percent"": 20.0, ""f1_percent"": 33.33}, {""category"": ""reptiles"", ""label"": 4, ""matched_count"": 16, ""purity_percent"": 72.73, ""avg_feature_freq_weight"": 0.112936, ""recall_percent"": 80.0, ""f1_percent"": 76.19}]",0.013259
